Px_id,GB_id,Show_type
12946887,10087,SM
12946886,10083,SM
12946888,10084,SM
12946889,10085,SM
12946891,10106,SM
12946893,10101,SM
12946936,10061,SM
12947005,10379,SM
12947010,10371,SM
12947076,10535,SM
12947133,10854,SM
12947230,1117,SM
12947321,11553,SM
12947329,11566,SM
12947342,11607,SM
12947371,11747,SM
12947438,11847,SM
12947472,12368,SM
12947566,12664,SM
12947583,12497,SM
12947971,13922,SM
12948009,13946,SM
12948016,14448,SM
12948020,14445,SM
12948086,14663,SM
12948089,14699,SM
12948134,14691,SM
12948258,15253,SM
12948297,15413,SM
12948356,15603,SM
12948358,15609,SM
12948406,15599,SM
12948410,15598,SM
12948435,15594,SM
12948678,16799,SM
12948707,14666,SM
12948851,19207,SM
12948918,18702,SM
12948955,19645,SM
12949065,20318,SM
12949075,20315,SM
12949129,18696,SM
12949130,20970,SM
12949142,20971,SM
12949171,21401,SM
12949180,214,SM
12949194,18695,SM
12949196,21620,SM
12949204,2162,SM
12949308,18694,SM
12949315,22129,SM
12949323,22128,SM
12949388,22233,SM
12949440,22660,SM
12949452,22659,SM
12949486,23088,SM
12949504,2330,SM
12949575,24540,SM
12949592,24772,SM
12949618,18691,SM
12949635,24902,SM
12949648,25108,SM
12949678,25107,SM
12949697,25448,SM
12949698,25449,SM
12949713,25446,SM
12949729,25805,SM
12949791,2580,SM
12949821,26793,SM
12949872,27521,SM
12949873,27525,SM
12949875,27529,SM
12949946,27945,SM
12949979,27495,SM
12949981,27944,SM
12949992,2831,SM
12949993,28300,SM
12950000,28308,SM
12950005,28467,SM
12950006,28462,SM
12950012,28454,SM
12950014,28539,SM
12950034,28452,SM
12950041,28536,SM
12950079,28450,SM
12950083,28534,SM
12950092,28443,SM
12950107,28442,SM
12950118,28438,SM
12950142,28533,SM
12950144,28532,SM
12950146,28437,SM
12950152,28531,SM
12950193,28530,SM
12950196,2841,SM
12950233,28403,SM
12950300,28529,SM
12950298,29341,SM
12950308,29593,SM
12950315,29592,SM
12950320,28528,SM
12950332,30299,SM
12950335,28526,SM
12950336,28527,SM
12950339,28525,SM
12950340,30298,SM
12950344,30297,SM
12950347,30296,SM
12950352,30295,SM
12950357,30294,SM
12950361,30293,SM
12950367,30292,SM
12950369,30290,SM
12950399,28524,SM
12950418,31936,SM
12950420,31937,SM
12950425,31933,SM
12950427,31930,SM
12950435,3193,SM
12950443,31929,SM
12950481,32279,SM
12950498,31927,SM
12950504,32294,SM
12950508,31926,SM
12950529,32550,SM
12950554,32670,SM
12950561,31921,SM
12950622,33392,SM
12950650,33786,SM
12950651,33785,SM
12950682,33909,SM
12950711,34070,SM
12950738,34068,SM
12950891,35294,SM
12950896,35290,SM
12950912,35418,SM
12950910,35426,SM
12950911,35423,SM
12950920,35415,SM
12950924,35414,SM
12950928,35481,SM
12950927,35413,SM
12950931,35409,SM
12950933,354,SM
12950937,35394,SM
12950948,35390,SM
12950963,35480,SM
12950994,35388,SM
12951011,35879,SM
12951095,36291,SM
12951097,36289,SM
12951098,36290,SM
12951109,36286,SM
12951150,36448,SM
12951220,36668,SM
12951229,36667,SM
12951252,36666,SM
12951271,36665,SM
12951337,36664,SM
12951353,36663,SM
12951363,35386,SM
12951372,35385,SM
12951426,35378,SM
12951509,35377,SM
12951525,35376,SM
12951558,36656,SM
12951588,35373,SM
12951592,35363,SM
12951593,35360,SM
12951596,35359,SM
12951605,35350,SM
12951607,35348,SM
12951609,35347,SM
12951614,35344,SM
12951628,35343,SM
12951633,35341,SM
12951701,35332,SM
12951707,35331,SM
12951709,36651,SM
12951755,39387,SM
12951786,39729,SM
12951803,35327,SM
12951830,40413,SM
12951832,40412,SM
12951848,35322,SM
12951851,35320,SM
12951856,35319,SM
12951861,35317,SM
12951864,40411,SM
12951865,35316,SM
12951877,35315,SM
12951889,35312,SM
12951936,35305,SM
12951946,35304,SM
12951962,35301,SM
12951983,35289,SM
12951993,35288,SM
12952003,35286,SM
12952007,40788,SM
12952008,35281,SM
12952064,35280,SM
12952079,41501,SM
12952119,41500,SM
12952190,35279,SM
12952219,41834,SM
12952220,41835,SM
12952227,35277,SM
12952239,41832,SM
12952253,35275,SM
12952338,35273,SM
12952382,42669,SM
12952384,42670,SM
12952414,42737,SM
12952485,43034,SM
12952486,43033,SM
12952496,43032,SM
12952535,43143,SM
12952557,43260,SM
12952556,43235,SM
12952561,43267,SM
12952559,43234,SM
12952604,43233,SM
12952656,43424,SM
12952676,43138,SM
12952684,43137,SM
12952740,43585,SM
12952766,43584,SM
12952780,43583,SM
12952785,43582,SM
12952809,43136,SM
12952810,43135,SM
12952849,43581,SM
12952860,43134,SM
12952880,43133,SM
12952934,43580,SM
12952977,43576,SM
12952985,43571,SM
12952987,43570,SM
12952989,43565,SM
12952996,43563,SM
12952997,43560,SM
12953008,43557,SM
12953014,43549,SM
12953033,43127,SM
12953047,43123,SM
12953113,44258,SM
12953115,44255,SM
12953114,44257,SM
12953116,44256,SM
12953136,43121,SM
12953143,44252,SM
12953167,44250,SM
12953205,43119,SM
12953236,44248,SM
12953237,43118,SM
12953272,43117,SM
12953287,44245,SM
12953291,44243,SM
12953296,43116,SM
12953299,44241,SM
12953302,43115,SM
12953320,43114,SM
12953326,44239,SM
12953337,44237,SM
12953367,43113,SM
12953413,43112,SM
12953473,44718,SM
12953499,44763,SM
12953500,44764,SM
12953501,44765,SM
12953567,44874,SM
12953569,44873,SM
12953619,45020,SM
12953621,45025,SM
12953669,45148,SM
12953670,45146,SM
12953671,45147,SM
12953696,45024,SM
12953702,45023,SM
12953703,45145,SM
12953743,45022,SM
12953759,45019,SM
12953786,45018,SM
12953805,45360,SM
12953806,45358,SM
12953812,45017,SM
12953847,45016,SM
12953897,45357,SM
12953921,45014,SM
12953927,45354,SM
12953981,45601,SM
12954024,45353,SM
12954068,45799,SM
12954082,45350,SM
12954093,45349,SM
12954102,45347,SM
12954110,45346,SM
12954123,45345,SM
12954132,45344,SM
12954138,45343,SM
12954341,45340,SM
12954355,45337,SM
12954378,45336,SM
12954385,45335,SM
12954386,45334,SM
12954409,45333,SM
12954460,46827,SM
12954463,46828,SM
12954461,46826,SM
12954470,46825,SM
12954503,46887,SM
12954535,47004,SM
12954536,47007,SM
12954541,47008,SM
12954567,47120,SM
12954565,47124,SM
12954566,47123,SM
12954568,47125,SM
12954570,47122,SM
12954575,47119,SM
12954597,47118,SM
12954616,47129,SM
12954615,47128,SM
12954625,47117,SM
12954627,47115,SM
12954633,47284,SM
12954639,47114,SM
12954642,47113,SM
12954650,47112,SM
12954688,47108,SM
12954698,47107,SM
12954711,47106,SM
12954731,47687,SM
12954732,47688,SM
12954755,47103,SM
12954767,47100,SM
12954791,47685,SM
12954818,47098,SM
12954831,47097,SM
12954835,47096,SM
12954843,47094,SM
12954858,47683,SM
12954867,47971,SM
12954879,47092,SM
12954887,47091,SM
12954890,47090,SM
12954902,47089,SM
12954903,47970,SM
12954908,47088,SM
12954934,47087,SM
12954965,47085,SM
12955049,48315,SM
12955050,48311,SM
12955077,48308,SM
12955078,48476,SM
12955079,48477,SM
12955080,48478,SM
12955081,48474,SM
12955083,48475,SM
12955084,48473,SM
12955090,48472,SM
12955101,48471,SM
12955118,48469,SM
12955123,48468,SM
12955138,48551,SM
12955139,48547,SM
