GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
152388,The Inquisition of Camilo Sanz,2014,TRUE,FALSE,"['B07C57HZGM','B07C57HZGM']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
147294,Kiki Love to Love,2016,TRUE,FALSE,"['B06XD1MRVR','B06XD1MRVR']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1201035551'],FALSE,FALSE,,Couldn't Map
152366,Spark,2016,TRUE,FALSE,['B072M214RN'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
141998,Come What May,2015,TRUE,FALSE,['B01MRCGW24'],FALSE,,FALSE,['80095681'],FALSE,,FALSE,,FALSE,,FALSE,['1197082113'],FALSE,FALSE,,Couldn't Map
129105,Wasp,2015,TRUE,FALSE,"['B0129VZZRK','B0129VZZRK','B0129VZZRK']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1021903338'],FALSE,FALSE,,Couldn't Map
137756,Diary of a Chambermaid,2015,TRUE,FALSE,['B01LYPMBFS'],FALSE,,FALSE,['80044536'],FALSE,,FALSE,,FALSE,,FALSE,['1155372200'],FALSE,FALSE,,Couldn't Map
96592,Thunder And The House Of Magic,2013,TRUE,FALSE,['B00OTZ44VI'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['912669653'],FALSE,FALSE,,Couldn't Map
4995,13 Assassins,2010,TRUE,FALSE,"['B008Q00TG6','B004TPTH56','B008Q00TG6']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['426355316'],FALSE,FALSE,,Couldn't Map
107964,Gina Yashere: Laughing To America,2014,TRUE,FALSE,"['B07L6RXYLW','B01EBL5GFW','B01EBL6L1U','B07L6RXYLW']",FALSE,['31613'],FALSE,['81045515'],FALSE,,FALSE,,FALSE,,FALSE,['1225057434'],FALSE,FALSE,,Couldn't Map
137351,As I AM: the Life and Times of DJ AM,2015,TRUE,FALSE,['B01GKOUX8I'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1114272524'],FALSE,FALSE,,Couldn't Map
