GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
33,Bob Marley & the Wailers: Catch a Fire,2000,TRUE,FALSE,['B017OEUTMI'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2371,Chic: Live at Montreux 2004,2004,TRUE,FALSE,['B003OBFUH0'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
4001,Stuff: Live at Montreux 1976,1976,TRUE,FALSE,['B017OJL350'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
4163,Keane: Curate a Night for War Child,2007,TRUE,FALSE,['B017OJL0OE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
4169,The Groundhogs: Live at the Astoria,1998,TRUE,FALSE,['B017OIVM5W'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
5093,Dan Zanes and Friends: The Fine Friends Are Here!,2008,TRUE,FALSE,"['B017OIVM8E', 'B00TKYID9W']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
8787,Adventure Scouts,2010,TRUE,FALSE,['B00B99UBS2'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
11374,Wet Wet Wet: Playing Away at Home,1997,TRUE,FALSE,['B017ORVYYM'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
11859,Macbeth,2008,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['1088432125'],FALSE,FALSE,,Couldn't Map
14578,Overkill: Live at Wacken,2007,TRUE,FALSE,['B017OL36ZI'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
18359,The Shadows,2007,TRUE,FALSE,"['B012PJLCDC', 'B012PK3VZI', 'B012PJLCDC']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
20236,2012: Prophecy or Panic,2011,TRUE,FALSE,['B017X2UHSC'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
25140,Magnum: Live in London,2005,TRUE,FALSE,"['B017OL2VR2', 'B01G60HMLC']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
33913,Mute Math: Flesh and Bone Electric Fun,2007,TRUE,FALSE,['B017OL1XQ2'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
33923,Babyshambles: Up the Shambles: Live in Manchester,2004,TRUE,FALSE,['B017OETSCK'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
35007,Tax Day,1998,TRUE,FALSE,['B01MEDE3YE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
36794,How Hitler Lost the War,1989,TRUE,FALSE,['B000UVB1XY'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
37427,Crunch: CardioSculpt,2003,TRUE,FALSE,['B000Y7RHLE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
37939,The Things We Carry,2009,TRUE,FALSE,['B07DF4NL77'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
38201,The Soldier's Tale,2007,TRUE,FALSE,['B01MAW9SGE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
39453,Under the Roofs of Paris,1930,TRUE,FALSE,['B077SH4DRH'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
