source,id,SM_id,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,7483114,127,[{'itunes': '1304808766'}],,Sesame Street,The Four Sneezons,,FALSE,[2817041],,,,"('No multiple ids for this link', [{'itunes': '1304808766'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7502615,14749,[{'itunes': '1277398094'}],,Sofia the First,Princess Jade,,FALSE,[3348680],,,,"('No multiple ids for this link', [{'itunes': '1277398094'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7502623,37718,[{'netflixusa': '80205144'}],,Sin Senos Si Hay Paraiso,Blanco equivocado,,FALSE,[3792485],,,,"('No multiple ids for this link', [{'netflixusa': '80205144'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7454417,20933,[{'itunes': '1277754187'}],,Girlfriends' Guide to Divorce,Rule #706: Let Them Eat Cupcakes,,FALSE,[3967307],,,,"('No multiple ids for this link', [{'itunes': '1277754187'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7382299,32178,[{'itunes': '1274804093'}],,Zoo,The Black Forest,,FALSE,[2742287],,,,"('No multiple ids for this link', [{'itunes': '1274804093'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,294088,13642,[{'itunes': '458868134'}],,Star Trek: Deep Space Nine,What You Leave Behind (Part 2),,FALSE,"[13412730, 2740964]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,360976,13689,[{'itunes': '469821646'}],,Star Trek: The Next Generation,All Good Things... (Part 2),,FALSE,[2743273],,,,"('No multiple ids for this link', [{'itunes': '469821646'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,6898912,613,[{'itunes': '1238984536'}],,Archer,Archer Dreamland: Auflosung,,FALSE,[],,,,"('No multiple ids for this link', [{'itunes': '1238984536'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7088622,66,[{'itunes': '1238038397'}],,Family Guy,A House Full of Peters,,FALSE,[2826089],,,,"('No multiple ids for this link', [{'itunes': '1238038397'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,326066,68,[{'itunes': '650509147'}],,The Cleveland Show,Wheel! Of! Family!,,FALSE,[3233312],,,,"('No multiple ids for this link', [{'itunes': '650509147'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,19326,991,[{'itunes': '324534025'}],,Star Trek: The Original Series,Turnabout Intruder,,FALSE,"[2785360, 13698332]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,268052,13620,[{'itunes': '459218040'}],,Star Trek: Voyager,Endgame (Parts 1 & 2),,FALSE,"[13414637, 2835226]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,5504293,2296,[{'vudu': '903251'}],,Bob the Builder,Scoop's Shockers,,FALSE,"[13293285, 2877804]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,4675484,2445,[{'amazon': 'B014WH8JDG'}],,Ghost in the Shell: Stand Alone Complex,PYROPHORIC CULT (Part 2),,FALSE,[13285086],,,,"('No multiple ids for this link', [{'amazon': 'B014WH8JDG'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,183,159,[{'itunes': '316589352'}],,Grey's Anatomy,Here's to Future Days,,FALSE,[12261781],,,,"('No multiple ids for this link', [{'itunes': '316589352'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,474,165,[{'itunes': '477654318'}],,Revenge,Charade,,FALSE,[3245075],,,,"('No multiple ids for this link', [{'itunes': '477654318'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,673,1587,[{'itunes': '389652249'}],,Better Off Ted,It's a Party and I'll Lie if I Want to,,FALSE,"[13390947, 2851894]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,1008,446,[{'itunes': '316462004'}],,Lost,The Incident (Part 2),,FALSE,"[14776976, 2902136]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,1112,171,[{'itunes': '489019399'}],,Last Man Standing,The Passion of the Mandy,,FALSE,[3144644],,,,"('No multiple ids for this link', [{'itunes': '489019399'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,3743,1627,[{'netflixusa': '70144010'}],,The Deep End,"White Lies, Black Ties",,TRUE,[],,,,"('No multiple ids for this link', [{'netflixusa': '70144010'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,6150,1695,[{'itunes': '391250988'}],,The Gates,Little Girl Lost,,FALSE,[3095428],,,,"('No multiple ids for this link', [{'itunes': '391250988'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,6557,1707,[{'itunes': '876897979'}],,Sonic the Hedgehog,Drood Henge,,FALSE,[2760865],,,,"('No multiple ids for this link', [{'itunes': '876897979'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,6777,1720,[{'amazon': 'B07JGBJYWS'}],,The Young Riders,Till Death Do Us Part (Part 1),,FALSE,[13369070],,,,"('No multiple ids for this link', [{'amazon': 'B07JGBJYWS'}])",No multiple ids for this link,,,,,,,,,,,,,
GuideBox,7050,1725,[{'hulu': '678d99b9-70ba-4f09-9349-4187a8b4bec2'}],,The Wonder Years,Independence Day,,FALSE,"[2749231, 2749129]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
