source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,1526436,3786,1526436,,ABC World News Tonight With David Muir,,1953,FALSE,[],,,,"('No multiple ids for this link', 1526436, 3786)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1526223,8676,1526223,,The Young Turks,,2011,FALSE,[14828764],,,,"('No multiple ids for this link', 1526223, 8676)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1526058,3785,1526058,,Good Morning America,,1975,FALSE,[14821522],,,,"('No multiple ids for this link', 1526058, 3785)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525974,39667,1525974,,Cheddar Explains,,2018,FALSE,[],,,,"('No multiple ids for this link', 1525974, 39667)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525867,17312,1525867,,The Tonight Show Starring Jimmy Fallon,,2014,FALSE,[14828776],,,,"('No multiple ids for this link', 1525867, 17312)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525859,16842,1525859,,Late Night With Seth Meyers,,2014,FALSE,[14809655],,,,"('No multiple ids for this link', 1525859, 16842)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525849,3797,1525849,,ABC Nightline,,1980,FALSE,[],,,,"('No multiple ids for this link', 1525849, 3797)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525844,2526,1525844,,Jimmy Kimmel Live,,2003,FALSE,[14819504],,,,"('No multiple ids for this link', 1525844, 2526)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525843,29296,1525843,,WWE 205 Live,,2016,FALSE,[14828759],,,,"('No multiple ids for this link', 1525843, 29296)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525845,347,1525845,,WWE SmackDown,,1999,FALSE,[13997482],,,,"('No multiple ids for this link', 1525845, 347)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525741,46226,1525741,,ASTRA LOST IN SPACE,,2019,FALSE,[14828747],,,,"('No multiple ids for this link', 1525741, 46226)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525717,10921,1525717,,Larry King Now,,2012,FALSE,[14828773],,,,"('No multiple ids for this link', 1525717, 10921)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525670,16612,1525670,,Dish Nation,,2013,FALSE,[],,,,"('No multiple ids for this link', 1525670, 16612)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525560,41178,1525560,,Strahan and Sara,,2018,FALSE,[14815140],,,,"('No multiple ids for this link', 1525560, 41178)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525677,969,1525677,,America's Got Talent,,2006,FALSE,[14707021],,,,"('No multiple ids for this link', 1525677, 969)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525557,34655,1525557,,Page Six TV,,2017,FALSE,[14828751],,,,"('No multiple ids for this link', 1525557, 34655)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525513,14534,1525513,,Politicking with Larry King,,2013,FALSE,[14828778],,,,"('No multiple ids for this link', 1525513, 14534)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525454,2460,1525454,,The View,,1997,FALSE,[14820393],,,,"('No multiple ids for this link', 1525454, 2460)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525435,2440,1525435,,General Hospital,,1963,FALSE,[14576067],,,,"('No multiple ids for this link', 1525435, 2440)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525455,46096,1525455,,Bring the Funny,,2019,FALSE,[14706978],,,,"('No multiple ids for this link', 1525455, 46096)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525403,46227,1525403,,"Demon Lord, Retry!",,2019,FALSE,[14828748],,,,"('No multiple ids for this link', 1525403, 46227)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525281,348,1525281,,WWE Monday Night Raw,,1997,FALSE,[13997415],,,,"('No multiple ids for this link', 1525281, 348)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525159,149,1525159,,So You Think You Can Dance,,2005,FALSE,[14613511],,,,"('No multiple ids for this link', 1525159, 149)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525162,10134,1525162,,American Ninja Warrior,,2012,FALSE,[14368767],,,,"('No multiple ids for this link', 1525162, 10134)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525158,4412,1525158,,The Bachelorette,,2003,FALSE,[14809374],,,,"('No multiple ids for this link', 1525158, 4412)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525079,42968,1525079,,Good Trouble,,2019,FALSE,[14708479],,,,"('No multiple ids for this link', 1525079, 42968)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525134,46357,1525134,,Gordon Ramsay: Uncharted,,2019,FALSE,[14691739],,,,"('No multiple ids for this link', 1525134, 46357)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1525113,44083,1525113,,Sneaker Shopping,,2017,FALSE,[14828750],,,,"('No multiple ids for this link', 1525113, 44083)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1524867,30964,1524867,,Beat Shazam,,2017,FALSE,[14613522],,,,"('No multiple ids for this link', 1524867, 30964)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1524829,45691,1524829,,Grand Hotel,,2019,FALSE,[14007750],,,,"('No multiple ids for this link', 1524829, 45691)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,1524603,45400,1524603,,Christina On The Coast,,2019,FALSE,[14823888],,,,"('No multiple ids for this link', 1524603, 45400)",No multiple ids for this link,,,,,,,,,,,,,
