Rovi,Hulu,Px_id1,Px_id2
7726240328,1565312,4084086,3642810
1513839,1571113,404669,3592745
2173629,1560885,638536,2492859
5653863162,1575254,3495458,2565087
1734441,1571887,480648,14099796
1232671096,1543800,2117791,1556920
1767615,1559391,491688,3835560
1441807,1559389,380582,3835562
5597117984,1538207,3473943,2497336
982759672,1479878,1230868,13995881
7076300825,1441410,3906993,389213
7670733042,1424291,4069171,3618834
6855388940,1470732,3842832,13937375
4697333506,1449933,3186229,3784900
6146639900,1428192,3549887,3793469
7660132334,1383799,13971088,3600037
4558659550,1371017,3134904,1800961
5731776911,1398382,3520687,3644349
1198761282,1360490,2093970,546624
7736573538,1356125,13529500,1963443
1554939806,1359456,2384876,2576334
6343274656,1344398,3697166,3341422
7830785251,1352173,1615549,3637657
1009258125,1300881,1597169,1659840
376174,1311141,85968,4026876
1370825625,1287657,2244240,3037468
1083186,1290060,226635,13721423
7747143474,1281397,4090068,3783708
1329117262,1271500,2207049,13587970
18032640,1273168,1223460,3341336
20001113,1256016,1363951,3289573
982759767,1244395,1445815,3904917
1105897063,1236384,2029877,2249829
5049257526,1245472,3304838,2882487
18140111,1222522,1236983,1985583
7869307930,1209842,14090309,13775793
1220660978,1213054,2107817,1792577
1740078,1188219,482183,14083058
2093975,1188217,609744,14083059
1906138,1188215,539666,14083060
1911341,1188220,541764,14083062
16896872,1188218,1171967,14083061
4558659554,1214559,3134912,3254732
1269848,1146892,315572,3935561
1552763,1146889,417965,13971553
5771150627,1131819,3532531,2723961
322643155,1120269,1586304,13971546
1062101,1006483,209249,3920159
449755,1006473,101337,3947047
431097,988078,96703,13971541
1186702141,986948,2082556,13666398
669400968,957935,1770867,13750368
183821,922960,54756,114400
21778913,850367,1399274,14083065
1530143638,812751,2367858,1151046
459191893,788078,1677095,13971469
298286019,576773,1543467,1355698
13944892,582880,1134248,2222867
