Rovi,Hulu,Px_id1,Px_id2
1809883698,28408,10524,4065673
7317734674,47437,3973892,13942245
1847892430,34856,2480680,13694137
66043970,6901,1338245,14060334
3498736112,27927,2751422,274726
12219366,4726,974030,1126408
22537663,47316,1460711,2805169
1992960,3543,670723,13959265
727626046,31305,1606597,3837279
212743,18232,60169,14039542
3598912438,29573,2779684,13804718
7441305694,47094,4007087,13945030
66528719,15630,1485624,14050439
1716560916,37594,2422419,13555479
581633412,14176,1713828,14055987
1100126377,18159,2021533,14038486
1192690006,18934,2088885,14041421
2222160,17619,15170145,3387853
424457,44318,77140,13923662
1089763045,18926,2096216,2874175
291424,10526,75261,1699095
1024698983,18373,1977137,2385606
1861832157,24002,2488754,14059081
7283969042,35082,3963614,14050258
67048271,13482,1505314,1564564
7240626252,40393,3953460,14052633
12416270,8971,849672,2371999
4455645343,42807,3093754,13932841
4272569422,25323,2713610,14060113
2189760,42445,643812,14069200
6609745251,43239,3768513,14069290
6609745251,43239,3768513,13922222
6786060814,38956,3820712,14051491
4334413915,31145,2862319,14067641
5830218262,37503,3549753,14053462
5542477866,35023,3456493,14050133
5732464675,36741,11005,14050855
9101122,1603,792427,14062589
556694697,11908,1583606,14040109
874705204,21723,1890762,2806992
661156610,14516,1733690,3080705
4092282937,27489,2880385,14062952
310172451,20725,1565277,3517942
5917517421,40002,3576661,13653345
6007610610,35100,3602778,14054087
4160161076,27451,2997751,14052713
2373513,10890,715466,13948742
66290102,31373,1476405,14050095
637365240,16752,1749871,13586683
3162925257,29991,2599074,13939903
561774475,20898,1720494,11226
2452348,16406,749848,1123896
1800074,17976,91920,14061912
2020459,21722,12256,14062570
297633806,31332,11426,14049455
1702819,12745,67954,14036575
2491249,17861,765048,1316783
945674413,15730,1819319,14056432
3537445761,28460,2761775,3466114
4493604648,13588,3107634,14050771
3448371359,28313,2735417,3546075
556695462,11709,1338353,14046002
19679741,7936,1338285,14056160
1198107253,19276,2092968,14044092
1318363996,20147,2193593,14057923
1105554128,18217,2028510,14045081
3591543502,25292,2777347,14059406
655464834,15054,1760934,13970131
435680,23315,97867,14003754
333627570,12103,1589736,14043540
506526069,12104,1590541,14057328
1398127281,20501,2264272,14057799
662768752,13951,11010,14057218
1490454138,21550,2337415,14061200
902519422,16924,1907626,14059657
327207867,29438,1595330,14048604
16852305,29083,47243,13951950
13917226,18314,1133377,14036560
3520582335,28908,2726154,2776815
934666109,16149,1846940,14040759
1534414,8322,411619,14061673
1483040194,21488,2330654,14037376
1058055895,23344,1997164,2661773
1714723,20822,10867,14061036
19680393,6385,1301730,14039081
1771805,13700,493171,14060190
936143059,14787,1758570,14039453
1167717069,17887,2069386,14039595
1758153,13304,82321,963819
927526661,16831,1897350,13862030
927497330,15854,1916818,14058518
1877213,1304,81653,14042318
534005569,9067,1450161,14058221
542476032,11876,1557007,14042780
551537013,9133,1715151,14058220
12169510,15462,988761,14057911
1327228,20840,49938,14057739
432193958,9974,1338316,14057736
66700815,9979,1486450,14043755
17982749,6466,1216554,14044071
2091882,3663,84855,14044216
936077774,15682,1818283,14057055
19650936,4621,1330454,14057031
543837675,9873,1530813,14044916
17835686,9172,120664,128134
406170,3640,90040,14045136
318547525,3281,1330449,14045202
661539770,14703,1748979,14045197
19766558,6287,1320259,14045255
556694071,9814,1478148,14056850
2231762,1303,658788,14056437
17016589,4069,1175170,14056433
19955807,2324,61877,14045473
2490666,18131,91520,82928
22280226,8230,1398419,14045753
456706435,8095,1393690,14055775
18135438,13878,1236440,1829889
556694614,11756,1605774,14055648
383120310,13874,116861,56254
273654,11352,72218,14055452
881938,12868,46526,14048156
747218,12871,126896,14048187
556694183,8845,1456091,1496652
13739048,2055,820856,14054675
1517956,4830,50002,14046832
17553536,1379,1185263,14054939
260180,4347,69318,14054871
8859586,4512,788757,14048731
383552802,3904,1185198,14048682
279227,4950,73018,14048168
9715695,4043,803726,14047854
1103583,655,65930,14048312
268625,3902,71102,14047553
1616499,298,76586,995212
