Projectx Id 1,Projectx ID 2,Series Title,Episode Title,Status
13358016,10109953,227,Honesty,
13348488,3515845,24 Hours on Earth,Day,
13115705,11058942,50 Central,Katt Williams Is Loose,
13094272,2799636,8 Simple Rules,Pilot,
13419425,3524714,A Cook's Tour,A Taste of Tokyo,
13021349,11646481,A Discovery of Witches,Episode 1,
13091351,3585903,A.D. Kingdom and Empire,The Tomb is Open,
10389051,3652487,Abandoned,Ghost Mall,
13524538,11576172,Abby's,Pilot,
13121745,3955878,Abnormal Summit,Episode 1,
13549025,13454993,Accident,,
13080454,5523255,Addicted,Amanda,
8029354,3279411,Africa,Kalahari,
13378873,8165069,Aftermath,Episode 1,
13167180,3796527,Agatha Christie's Criminal Games,Sparkling Cyanide,
13380840,8635077,Aim High,Episode 1,
13066479,11538942,Alaska's Deadliest,Grizzly Battleground,
13344739,3397296,Alien Encounters,The Message,
13289941,2973029,Aliens in America,Pilot,
13208087,9331163,All Quiet in Peking,Episode 1,
13408842,7975844,Along for the Bride,Aki,
13418735,7363492,Amagami SS,Admiration,
13076011,11498961,America's Wild Frontier,The Mighty Mississippi,
13229330,10274633,American Grit,Ruck Up,
13123622,11674282,American Koko,Meet Koko,
13349982,3211609,Amish: Out of Order,Amish 101,
13122254,2909828,Andromeda,Under the Night,
13394270,7634222,Anohana: The Flower We Saw That Day,Super Peace Busters,
13283158,3541703,ANZAC Girls,Adventure,
13328663,8953226,Apocalypse: WWI,Fury,
13392737,5495727,Aria: The Animation,That Wonderful Miracle…,
13295339,12559308,Arpeggio of Blue Steel,Those with Shipping Routes,
13022894,12353461,Australia's Most Dangerous,Perilous Waters,
13022795,7822682,Australian Families Of Crime,Baby Faced Killer: Carl Williams,
13524516,12926997,AutoBiography,The Case of the Buried Dino,
13292451,8306188,AwesomenessTV,Terry the Tomboy: Summer Style Guide,
11168226,10815337,Bad Guys,Episode 1,
13696395,13595298,Bake You Rich,Baking Mashups,
13143910,7621075,Ball Boys,Lord of the Ring,
13172731,5972757,Battlefront,Dunkirk,
13392255,3387010,Battleground Afghanistan,First Contact,
13498621,2737436,Baywatch,Panic at Malibu Pier,
13244988,9224004,Bazillion Dollar Club,Vango,
13647631,13539447,Beasts of the Ice Age,Beasts of the Ice Age,
13422850,3559856,Believe,Pilot,
13408237,3170564,Bering Sea Gold,Paydirt,
13770600,13554301,Best Room Wins,Home Sweet Hollywood Regency,
13417792,5269431,Beyond,Ghosts,
13389572,8250481,Bid America,Planes,
13376674,3414884,Big Fat Gypsy Weddings,Born To Be Wed,
13022143,12914094,Biography: The Trump Dynasty,Part 1: New Frontiers,
13669413,11646396,Black Summer,Human Flow,
13690013,12319395,Bless This Mess,Pilot,
13101430,3871429,Blue Planet II,One Ocean,
13210659,3774789,Blue: A Secret Life,Blue Rules,
13425467,8218497,Bodacious Space Pirates,Pirates Coming Through,
13708049,12354160,Bonding,Old Friends,
13254280,9355353,Boom!,It's the Maple Syrup Bomb!,
12957979,11556692,Boomerang,Pilot,
11007503,9341296,Bottersnikes & Gumbles,The Gumbledex,
13334807,9080147,Branson Famous,Meet the Mabes,
13696169,13509877,Breakthrough: The Ideas That Changed the World,The Telescope,
13137203,10932555,Bringing Up Ballers,Have You Met Peytyn?,
13397146,3446573,Bullet Points,Battle for the Pacific,
13445429,5374352,Bunnytown,Hello Bunnies!,
11727330,5526307,Butterfly,Episode 1,
13088616,2802726,Call 911,Saved by a Siren,
13365734,3984395,Canimals,Episode 1,
13277021,6046774,Celebrity Big Brother,Episode 1,
13720747,11595334,Chambers,Into the Void,
13430595,4110984,Chance Pop Session,Angel,
12258441,9343068,Charmed,Something Wicca This Way Comes,
13096049,3953539,Cheapest Weddings,Episode 1,
13235794,10399434,Chivalry of a Failed Knight,The Worst One I,
13781389,11214912,Cobra Kai,Ace Degenerate,
13425340,3795261,Coffee Prince,First Cup,
12951252,2732544,College Hill: Interns,Let the Games Begin,
13397908,3522032,Combat Pawn,Sniper Rifle Challenge,
13262859,8907048,Connected,Walking Up To The Pretty Girl,
13445432,11692299,Consumer 101,Protect Yourself,
13205300,3741553,Counting On,A New Chapter,
13220997,10307312,Coupled,Chemistry 101,
10507590,3365324,Cracked,How the Light Gets In,
13079006,4420911,Crusade in Europe,Prelude to War,
13441342,3185215,Cuff Me If You Can,No Life of the Party,
13403591,8243754,Cuticle Detective Inaba,Counterfeit Currency Printing Incident / Inaba Hiroshi Kidnapping Incident,
13295594,7520884,D-Day to Victory,D-Day,
13365370,10179557,D-Fragments,Kazama's Party,
13280614,5063975,Danger Man,View from the Villa,
13117177,11232746,Dare To Live,Rae Sremmurd,
13671195,13590124,Dark Side of the Ring,The Match Made in Heaven,
13087517,11495737,DARLING in the FRANXX,Alone and Lonesome,
13404998,8240043,Dating Rules From My Future Self,Who RU?,
13390961,8735955,Day Break Illusion,Dark Spot of the Sun,
13024209,12353465,Dead by Dawn,The Hills Have Eyes,
13765100,11546866,Dead to Me,Pilot,
13267445,12921246,Deadly Cults,Vampire Clan,
13189377,10518954,Deadly Doctors,Prescription To Kill,
13296399,8887140,DearS,I Want to Nibble Sweetly,
13263535,3545153,Death Row Stories,Edward Lee Elmore: Innocence and the Intern,
7777430,3974293,Deception,Pilot,
13373224,8731840,Deja Vu,Episode 1,
13528097,12920944,Delhi Crime,Episode 1,
13128668,10999784,Detective,Till Doom Do Us Part,
13228490,11033354,Detective Alice,Episode 1,
13434968,7146910,Devil May Cry,Devil May Cry,
13489787,3598806,Diff'rent Strokes,Movin' In,
