GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
48882,9016263,6785768267,6042098648, 'Exact sequence & title match',Flip-Flooped, 'Flip-Flooped',|['Flip-Flooped',11560352,11560352,,,,,,,Pass,Pass
48882,9016270,6785768255,6042098648, 'Exact sequence & title match',Secrets & Spies, 'Secrets & Spies',|['Secrets & Spies',11560056,11560056,,,,,,,Pass,Pass
48882,9016261,6785768259,6042098648, 'Exact sequence & title match',Moled Over, 'Moled Over',|['Moled Over',11560197,11560197,,,,,,,Pass,Pass
48882,9016265,6785768265,6042098648, 'Exact sequence & title match',Pale Blue-Eyed Rider, 'Pale Blue-Eyed Rider',|['Pale Blue-Eyed Rider',11560241,11560241,,,,,,,Pass,Pass
48882,8275122,6063644498,6042098648, 'Exact sequence & title match',The Vinyl Countdown, 'The Vinyl Countdown',|['The Vinyl Countdown',11558644,11558644,,,,,,,Pass,Pass
48882,8275123,6063644492,6042098648, 'Exact sequence & title match',Inner-Childlike Behavior, 'Inner-Childlike Behavior',|['Inner-Childlike Behavior',11558177,11558177,,,,,,,Pass,Pass
48882,8275120,6063644506,6042098648, 'Exact sequence & title match',The Cookie Crumbles, 'The Cookie Crumbles',|['The Cookie Crumbles',11559181,11559181,,,,,,,Pass,Pass
48882,8275125,6063644490,6042098648, 'Exact sequence & title match',Frenemies for Life, 'Frenemies for Life',|['Frenemies for Life',11558072,11558072,,,,,,,Pass,Pass
48882,9016262,6785768271,6042098648, 'Exact sequence & title match',Family Unfriendly, 'Family Unfriendly',|['Family Unfriendly',11560488,11560488,,,,,,,Pass,Pass
48882,8275124,6063644500,6042098648, 'Exact sequence & title match',And Scene!, 'And Scene!',|['And Scene!',11558781,11558781,,,,,,,Pass,Pass
