GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
14749,8354693,6062276419,22023391, 'title match only',The Lost Pyramid, 'The Lost Pyramid',|['The Lost Pyramid',3349662,3349662,,,,,,,Pass,Pass
14749,8347149,5738997817,22023391, 'title match only',A Royal Wedding, 'A Royal Wedding',|['A Royal Wedding',3349513,3349513,,,,,,,Pass,Pass
14749,8120241,5771104024,22023391, 'title match only',The Mystic Isles: Undercover Fairies, 'The Mystic Isles: Undercover Fairies',|['Undercover Fairies',3349544,3349544,,,,,,,Pass,Pass
14749,7735153,5430076957,22023391, 'Exact sequence & title match',The Mystic Isles: The Great Pretender, 'The Mystic Isles: The Great Pretender',|['The Mystic Isles: The Great Pretender',3349164,3349164,,,,,,,Pass,Pass
14749,7687152,5300602564,22023391, 'Exact sequence & title match',Pirated Away, 'Pirated Away',|['Pirated Away',3349057,3349057,,,,,,,Pass,Pass
14749,7710207,5300602568,22023391, 'Exact sequence & title match',The Mystic Isles: The Falcon's Eye," ""The Mystic Isles: The Falcon's Eye""","|[""The Mystic Isles: The Falcon's Eye""",3349096,3349096,,,,,,,Pass,Pass
14749,7457423,5060046233,22023391, 'Exact sequence & title match',Through the Looking Back Glass, 'Through the Looking Back Glass',|['Through the Looking Back Glass',3348531,3348531,,,,,,,Pass,Pass
14749,2933586,1308524502,22023391, 'sequence & title match',Leafsong Festival, 'The Leafsong Festival',|['The Leafsong Festival',3340908,3340908,,,,,,,Pass,Pass
14749,3265290,1350002638,22023391, 'Exact sequence & title match',Substitute Cedric, 'Substitute Cedric',|['Substitute Cedric',3337375,3337375,,,,,,,Pass,Pass
14749,5288094,3354319159,22023391, 'Exact sequence & title match',Gone With the Wand, 'Gone With the Wand',|['Gone With the Wand',3342893,3342893,,,,,,,Pass,Pass
14749,1307804,1270539132,22023391, 'Exact sequence & title match',Baileywhoops, 'Baileywhoops',|['Baileywhoops',3336003,3336003,,,,,,,Pass,Pass
14749,1258036,1230824139,22023391, 'Exact sequence & title match',The Emerald Key, 'The Emerald Key',|['The Emerald Key',3335714,3335714,,,,,,,Pass,Pass
