GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
757,161724,2457582,2448853, 'Exact sequence & title match',It All Comes Crashing Down, 'It All Comes Crashing Down',|['It All Comes Crashing Down',5460240,5460240,,,,,,,Pass,Pass
757,161716,11949634,2448853, 'title match only',Wet and Wildin' Out," ""Wet & Wildin' Out""","|[""Wet & Wildin' Out""",5460452,5460377,"[{'source_projectx_id_mapped': 'rovi_id:2471544,Map_reason:not found in projectx'}, {'sourceId': '161716'}]","[{'rovi_projectx_id_mapped': 'rovi_id:11949634,Map_reason:not found in projectx'}]",True,,True,[5457170],Fail,Fail
757,161722,2461094,2448853, 'Exact sequence & title match',Rumor Control, 'Rumor Control',|['Rumor Control',5460283,5460283,,,,,,,Pass,Pass
765,160780,17697995,17028296, 'Exact sequence & title match',Falling to Pieces, 'Falling to Pieces',|['Falling to Pieces',3641525,3641525,,,,,,,Pass,Pass
765,160778,17716093,17028296, 'Exact sequence & title match',For Better or Worse, 'For Better or Worse',|['For Better or Worse',3641580,3641580,,,,,,,Pass,Pass
765,160770,17958401,17028296, 'Exact sequence & title match',Flower Power, 'Flower Power',|['Flower Power',3641877,3641877,,,,,,,Pass,Pass
765,160763,18077641,17028296, 'Exact sequence & title match',The Perfect Bride, 'The Perfect Bride',|['The Perfect Bride',3642191,3642191,,,,,,,Pass,Pass
765,160772,17958304,17028296, 'Exact sequence & title match',Sporting of a Sparrow, 'Sporting of a Sparrow',|['Sporting of a Sparrow',3641774,3641774,,,,,,,Pass,Pass
765,160764,18049032,17028296, 'Exact sequence & title match',Keep Your Friends Close, 'Keep Your Friends Close',|['Keep Your Friends Close',3642087,3642087,,,,,,,Pass,Pass
765,160776,17864540,17028296, 'Exact sequence & title match',Unveiled, 'Unveiled',|['Unveiled',3641654,3641654,,,,,,,Pass,Pass
765,160766,18048619,17028296, 'Exact sequence & title match',A Lie is a Lie is a Lie, 'A Lie Is a Lie Is a Lie',|['A Lie Is a Lie Is a Lie',3642017,3642017,,,,,,,Pass,Pass
