Vudu_sm_id,Vudu_id,Rovi_id,Rovi_SM_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,series_id_match,Px_series_id,Episode mapping,Comment
481541,514495,1026740248,545146860,3589274,3589274,,,,,,,Pass,Pass
481599,481605,648809420,545233230,[8220952],[8220952],,,,,,,Pass,Pass
481599,481609,717027000,545233230,[8221070],[8221070],,,,,,,Pass,Pass
481849,481911,351800,917607,2760227,13370963,"[{'source_id': '481911,Map_reason:{MATCH_PARAM_EPISODE_TITLE_DISTANCE=0.11764705882352941, MATCH_PARAM_SEASON_EPISODE=1.0}'}]","[{'2760227': 'rovi_id:351800,Map_reason:not found in projectx'}, {'source_id': '481915,Map_reason:{MATCH_PARAM_EPISODE_TITLE_SOLR=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]",,True,True,[2759982],Fail,Fail
481849,481915,351800,917607,2760227,2760227,,,,,,,Pass,Pass
481849,481919,351802,917607,2760423,2760423,,,,,,,Pass,Pass
481849,481923,351803,917607,2760505,14298601,"[{'source_id': '481923,Map_reason:not found in projectx'}]","[{'2760505': 'rovi_id:351803,Map_reason:not found in projectx'}]",,,True,[2759982],Fail,Fail
481849,481927,351804,917607,2760561,14298610,"[{'source_id': '481927,Map_reason:not found in projectx'}]","[{'2760561': 'rovi_id:351804,Map_reason:not found in projectx'}]",,,True,[2759982],Fail,Fail
481849,481931,22550158,917607,2761003,2761003,,,,,,,Pass,Pass
481849,481935,351806,917607,2760621,2760621,,,,,,,Pass,Pass
481849,481939,351807,917607,2760724,2760724,,,,,,,Pass,Pass
481849,481943,22550161,917607,2761140,13370339,"[{'source_id': '481943,Map_reason:{MATCH_PARAM_EPISODE_TITLE=1.0}'}]","[{'2761140': 'rovi_id:22550161,Map_reason:not found in projectx'}]",,,True,[2759982],Fail,Fail
481849,481947,351809,917607,2760787,2760787,,,,,,,Pass,Pass
481849,481951,351810,917607,2760865,2760865,,,,,,,Pass,Pass
481849,481955,351811,917607,2760897,2760897,,,,,,,Pass,Pass
481849,481959,351812,917607,2760950,2760950,,,,,,,Pass,Pass
482196,482212,730818760,545350771,3393442,3393442,,,,,,,Pass,Pass
482196,482216,742641271,545350771,3393525,3393525,,,,,,,Pass,Pass
482196,482220,746257534,545350771,3393692,3393692,,,,,,,Pass,Pass
482196,482224,792597812,545350771,3393720,3393720,,,,,,,Pass,Pass
482196,482320,802239599,545350771,3393806,3393806,,,,,,,Pass,Pass
482196,482324,811285450,545350771,3393894,3393894,,,,,,,Pass,Pass
482196,482328,820674585,545350771,3394000,3394000,,,,,,,Pass,Pass
482196,482332,746257528,545350771,3393647,3393647,,,,,,,Pass,Pass
482196,482336,746257531,545350771,3393679,3393679,,,,,,,Pass,Pass
482196,482340,882307871,545350771,3394116,3394116,,,,,,,Pass,Pass
482196,482344,888283176,545350771,3394182,3394182,,,,,,,Pass,Pass
482196,482348,990424588,545350771,3394427,3394427,,,,,,,Pass,Pass
482196,482352,1000313305,545350771,3394544,3394544,,,,,,,Pass,Pass
482196,498235,1007401172,545350771,3394708,3394708,,,,,,,Pass,Pass
482196,498239,1017628995,545350771,3394839,3394839,,,,,,,Pass,Pass
482196,498243,954016466,545350771,3394255,3394255,,,,,,,Pass,Pass
482196,498247,961678334,545350771,3394366,3394366,,,,,,,Pass,Pass
482196,498251,1001136717,545350771,3394623,3394623,,,,,,,Pass,Pass
482196,498255,1011090237,545350771,3394800,3394800,,,,,,,Pass,Pass
482196,498259,1019960129,545350771,3394930,3394930,,,,,,,Pass,Pass
482196,498263,1031352901,545350771,3394978,3394978,,,,,,,Pass,Pass
482196,498267,1034168834,545350771,3395095,3395095,,,,,,,Pass,Pass
482196,599861,1144437836,545350771,3395180,3395180,,,,,,,Pass,Pass
482196,600098,1205926091,545350771,3395223,3395223,,,,,,,Pass,Pass
482196,600174,1205926092,545350771,3395316,3395316,,,,,,,Pass,Pass
482196,600182,1256241286,545350771,3395343,3395343,,,,,,,Pass,Pass
482196,600190,1259316255,545350771,3395474,3395474,,,,,,,Pass,Pass
482196,600202,1259316251,545350771,3395386,3395386,,,,,,,Pass,Pass
482196,600222,1285308303,545350771,3395497,3395497,,,,,,,Pass,Pass
482196,600238,1298747660,545350771,3395544,3395544,,,,,,,Pass,Pass
482196,600254,1313301962,545350771,3395659,3395659,,,,,,,Pass,Pass
482196,600266,1366971959,545350771,3395788,3395788,,,,,,,Pass,Pass
482196,600270,1339368590,545350771,3395699,3395699,,,,,,,Pass,Pass
482196,600282,1386828485,545350771,3395836,3395836,,,,,,,Pass,Pass
482196,600310,1395541915,545350771,3395869,3395869,,,,,,,Pass,Pass
482196,600318,1396948444,545350771,3395917,3395917,,,,,,,Pass,Pass
482196,600326,1433591301,545350771,3396038,3396038,,,,,,,Pass,Pass
482196,600330,1443062397,545350771,3396136,3396136,,,,,,,Pass,Pass
482196,600338,1471766175,545350771,3396339,3396339,,,,,,,Pass,Pass
482196,600362,1480981230,545350771,3396609,3396609,,,,,,,Pass,Pass
482196,600384,1478463414,545350771,3396494,3396494,,,,,,,Pass,Pass
482196,600412,1499458946,545350771,3396724,3396724,,,,,,,Pass,Pass
482196,600421,1499458950,545350771,3396817,3396817,,,,,,,Pass,Pass
482196,600429,1466021440,545350771,3396230,3396230,,,,,,,Pass,Pass
482196,696178,1380055263,545350771,3397235,3397235,,,,,,,Pass,Pass
482196,696182,1897827393,545350771,3396851,3396851,,,,,,,Pass,Pass
482196,696186,1911663525,545350771,3396945,3396945,,,,,,,Pass,Pass
482196,696190,1923999627,545350771,3397028,3397028,,,,,,,Pass,Pass
482196,696194,1940983142,545350771,3397138,3397138,,,,,,,Pass,Pass
482196,696198,1956753114,545350771,3397319,3397319,,,,,,,Pass,Pass
482196,696202,1972231474,545350771,3397359,3397359,,,,,,,Pass,Pass
482196,696206,2005970334,545350771,3397542,3397542,,,,,,,Pass,Pass
482196,696210,2029110223,545350771,3397441,3397441,,,,,,,Pass,Pass
482196,696214,3227664820,545350771,3397659,3397659,,,,,,,Pass,Pass
482196,696218,3248799673,545350771,3397747,3397747,,,,,,,Pass,Pass
482196,696222,3262623516,545350771,3397802,3397802,,,,,,,Pass,Pass
482196,696226,3283047485,545350771,3397898,3397898,,,,,,,Pass,Pass
482196,696230,3302043725,545350771,3397989,3397989,,,,,,,Pass,Pass
482196,696234,3325265427,545350771,3398068,3398068,,,,,,,Pass,Pass
482196,696238,3397256581,545350771,3398163,3398163,,,,,,,Pass,Pass
482196,696242,3417101619,545350771,3398267,3398267,,,,,,,Pass,Pass
482196,696246,3432695618,545350771,3398362,3398362,,,,,,,Pass,Pass
482196,696250,3469639264,545350771,3398480,3398480,,,,,,,Pass,Pass
482196,696254,3486586600,545350771,3398595,3398595,,,,,,,Pass,Pass
482196,696258,3511075142,545350771,3398713,3398713,,,,,,,Pass,Pass
482196,696262,3524779120,545350771,3398797,3398797,,,,,,,Pass,Pass
482196,847440,4279427075,545350771,3398856,3398856,,,,,,,Pass,Pass
482196,847443,4594805736,545350771,3398904,13579400,"[{'source_id': '847443,Map_reason:{MATCH_PARAM_EPISODE_TITLE_SOLR=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]","[{'3398904': 'rovi_id:4594805736,Map_reason:not found in projectx'}]",,,True,[3392794],Fail,Fail
482196,847446,4616324330,545350771,3398982,3398982,,,,,,,Pass,Pass
482196,847449,4654000646,545350771,3399078,3399078,,,,,,,Pass,Pass
482196,847452,4666212079,545350771,3399152,3399152,,,,,,,Pass,Pass
482196,847455,4719980814,545350771,3399405,3399405,,,,,,,Pass,Pass
482196,847458,4746811368,545350771,3399485,3399485,,,,,,,Pass,Pass
482196,847461,4772141665,545350771,3399647,3399647,,,,,,,Pass,Pass
482196,847467,4794073657,545350771,3399752,3399752,,,,,,,Pass,Pass
482196,847470,4849721114,545350771,3399831,3399831,,,,,,,Pass,Pass
482196,847473,4868609989,545350771,3399919,3399919,,,,,,,Pass,Pass
482196,847476,4905984802,545350771,3400047,3400047,,,,,,,Pass,Pass
482196,847479,4768881242,545350771,3399561,3399561,,,,,,,Pass,Pass
482196,936077,5258587675,545350771,3400126,3400126,,,,,,,Pass,Pass
482196,936080,6007818497,545350771,3400203,3400203,,,,,,,Pass,Pass
482196,936083,6023256815,545350771,3400298,3400298,,,,,,,Pass,Pass
482196,936086,6052071530,545350771,3400537,3400537,,,,,,,Pass,Pass
482196,936089,6073700099,545350771,3400667,3400667,,,,,,,Pass,Pass
482196,936092,6117860092,545350771,3400743,3400743,,,,,,,Pass,Pass
482196,936095,6136679032,545350771,3400889,3400889,,,,,,,Pass,Pass
482196,936098,6158479785,545350771,3401006,3401006,,,,,,,Pass,Pass
482196,936101,6181962673,545350771,3401082,3401082,,,,,,,Pass,Pass
482196,936104,6248850211,545350771,3401155,3401155,,,,,,,Pass,Pass
482196,936107,6273998065,545350771,3401226,3401226,,,,,,,Pass,Pass
482196,936110,6300423019,545350771,3401382,3401382,,,,,,,Pass,Pass
482196,936113,6297693743,545350771,3401293,3401293,,,,,,,Pass,Pass
482556,482572,770808152,545392195,3726181,3726181,,,,,,,Pass,Pass
482556,482576,746257574,545392195,3726038,3726038,,,,,,,Pass,Pass
482556,482580,766850027,545392195,3730542,3730542,,,,,,,Pass,Pass
482556,482584,771944346,545392195,3730632,3725998,"[{'3730632': 'rovi_id:746257571,Map_reason:not found in projectx'}, {'source_id': '482584,Map_reason:{MATCH_PARAM_EPISODE_TITLE_SOLR=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]","[{'3730632': 'rovi_id:771944346,Map_reason:not found in projectx'}]",True,,True,[3725708],Fail,Fail
482556,482588,791788269,545392195,3730716,3730716,,,,,,,Pass,Pass
482556,482592,746257575,545392195,3726097,3726097,,,,,,,Pass,Pass
482556,482596,833264212,545392195,3726358,3726358,,,,,,,Pass,Pass
482556,482600,746257577,545392195,3726143,3726143,,,,,,,Pass,Pass
482556,482604,746257580,545392195,3726166,3726166,,,,,,,Pass,Pass
482556,482608,982878543,545392195,3726727,3726727,,,,,,,Pass,Pass
482556,482612,991658456,545392195,3729517,3729517,,,,,,,Pass,Pass
482556,482616,1000313309,545392195,3729600,3729600,,,,,,,Pass,Pass
482556,482620,1011571494,545392195,3729854,3729854,,,,,,,Pass,Pass
482556,498271,1019360656,545392195,3729965,3729965,,,,,,,Pass,Pass
