Vudu_sm_id,Vudu_id,Rovi_id,Rovi_SM_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,series_id_match,Px_series_id,Episode mapping,Comment,gb_id_present,hulu_id_present
799069,896445,5510172760,3744907254,10448713,10448713,,,,,,,Pass,Pass,,
799069,896448,5554324466,3744907254,10448828,10448828,,,,,,,Pass,Pass,,
799069,896451,5554492180,3744907254,10448877,10448877,,,,,,,Pass,Pass,,
799069,896454,5578578712,3744907254,10448922,10448922,,,,,,,Pass,Pass,,
799069,896457,5623225747,3744907254,10448980,10448980,,,,,,,Pass,Pass,,
799069,996258,5648050455,3744907254,10449123,10449123,,,,,,,Pass,Pass,,
799069,996261,6526515229,3744907254,10449316,10449316,,,,,,,Pass,Pass,,
799069,996264,6550749352,3744907254,10449233,10449233,,,,,,,Pass,Pass,,
799069,996267,6576231892,3744907254,10449485,10449485,,,,,,,Pass,Pass,,
799069,996270,6636188091,3744907254,10449859,10449859,,,,,,,Pass,Pass,,
799069,996273,6636188083,3744907254,10449701,10449701,,,,,,,Pass,Pass,,
799069,996276,6646713139,3744907254,10449967,10449967,,,,,,,Pass,Pass,,
799069,996279,6672399986,3744907254,10450185,10450185,,,,,,,Pass,Pass,,
799069,996282,6696554803,3744907254,10450285,10450285,,,,,,,Pass,Pass,,
799069,996285,6719403431,3744907254,10450401,10450401,,,,,,,Pass,Pass,,
799069,996288,6696554803,3744907254,10450285,10450449,"[{'source_projectx_id_mapped': 'rovi_id:6743192907,Map_reason:not found in projectx'}, {'source_id': '996288'}]","[{'rovi_projectx_id_mapped': 'rovi_id:6696554803,Map_reason:not found in projectx'}, {'source_id': '996282,Map_reason:{MATCH_PARAM_EPISODE_TITLE_SOLR=1.0, MATCH_PARAM_SEASON_EPISODE=1.0}'}]",True,True,True,[10445992],Fail,Fail,,
799069,996291,6768895685,3744907254,10450496,10450496,,,,,,,Pass,Pass,,
799069,996294,6790664084,3744907254,10450588,10450588,,,,,,,Pass,Pass,,
799133,799145,4016782804,3995456101,3857844,3857844,,,,,,,Pass,Pass,,
799133,799149,4068750353,3995456101,3857930,3857930,,,,,,,Pass,Pass,,
799133,799153,4068750355,3995456101,3857995,3857995,,,,,,,Pass,Pass,,
799133,799157,4076377197,3995456101,3858025,3858025,,,,,,,Pass,Pass,,
799133,799161,4099791021,3995456101,3858103,3858103,,,,,,,Pass,Pass,,
799133,799165,4122755020,3995456101,3858182,3858182,,,,,,,Pass,Pass,,
799133,799169,4145671606,3995456101,3858273,3858273,,,,,,,Pass,Pass,,
