GB_id,GB_Title,GB_ReleaseYear,RoviID,Result
7,Being John Malkovich,1999,1187058,Search and Link verification match Passed
11,The Last Temptation of Christ,1988,435053,Search and Link verification match Passed
12,Our Town,1940,1065362,Search and Link verification match Failed
13,Stigmata,1999,1162605,Search and Link verification match Passed
14,My Life So Far,1999,1162949,Search and Link verification match Passed
15,Blue Collar,1978,442811,Search and Link verification match Passed
25428,Unforgiven,1992,1081997,Search and Link verification match Passed
54191,Minority Report,2002,1483520,Search and Link verification match Passed
61153,Fast Times at Ridgemont High,1982,1057887,Search and Link verification match Passed
81826,Sixteen Candles,1984,437683,Search and Link verification match Passed
30452,The Breakfast Club,1985,982760346,Search and Link verification match Passed
1504,Rain Man,1988,1066671,Search and Link verification match Passed
14280,The Incredible Hulk,2008,982759669,Search and Link verification match Passed
141641,Kicks,2016,3249911725,Search and Link verification match Passed
748,The Cider House Rules,1999,1181542,Search and Link verification match Passed
136413,The Boss,2016,1380264267,Search and Link verification match Passed
65165,Dazed and Confused,1993,445791,Search and Link verification match Passed
32136,The Mothman Prophecies,2002,1412539,Search and Link verification match Passed
129282,The Gift,2015,1481774608,Search and Link verification match Passed
132284,Burnt,2015,1298894394,Search and Link verification match Passed
134403,The Boy,2016,1448271465,Search and Link verification match Passed
72837,The Secret Life of Bees,2008,2391922,Search and Link verification match Passed
136346,Hardcore Henry,2015,1867718854,Search and Link verification match Passed
147294,Kiki Love to Love,2016,3450220506,Search and Link verification match Passed
138138,Bad Moms,2016,3235523343,Search and Link verification match Passed
141173,Skiptrace,2016,1068412582,Search and Link verification match Passed
141924,Snowden,2016,1380264287,Search and Link verification match Passed
13956,The Best Offer,2013,368524374,Search and Link verification match Passed
25278,Detention,2003,1635603,Search and Link verification match Passed
34952,The Craft,1996,422643,Search and Link verification match Passed
117483,Freedom,2014,1135214422,Search and Link verification match Passed
931,Trading Places,1983,451150,Search and Link verification match Passed
48276,Friday,1995,428642,Search and Link verification match Passed
5158,Red Cliff,2008,2481511,Search and Link verification match Passed
