GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping,hulu_id_present,vudu_id_present
7,1187058,Being John Malkovich,1999,60941,60941,,,,,,Pass,Pass,,
11,435053,The Last Temptation of Christ,1988,60657,60657,,,,,,Pass,Pass,,
12,1065362,Our Town,1940,159005,159005,,,,,,Pass,Pass,,
13,1162605,Stigmata,1999,60366,60366,,,,,,Pass,Pass,,
14,1162949,My Life So Far,1999,63852,63852,,,,,,Pass,Pass,,
15,442811,Blue Collar,1978,81238,81238,,,,,,Pass,Pass,,
25428,1081997,Unforgiven,1992,52461,52461,,,,,,Pass,Pass,,
54191,1483520,Minority Report,2002,62253,62253,,,,,,Pass,Pass,,
61153,1057887,Fast Times at Ridgemont High,1982,79292,79292,,,,,,Pass,Pass,,
81826,437683,Sixteen Candles,1984,77199,77199,,,,,,Pass,Pass,,
30452,982760346,The Breakfast Club,1985,853991,853991,,,,,,Pass,Pass,,
1504,1066671,Rain Man,1988,66390,66390,,,,,,Pass,Pass,,
14280,982759669,The Incredible Hulk,2008,81952,81952,,,,,,Pass,Pass,,
141641,3249911725,Kicks,2016,166395,166395,,,,,,Pass,Pass,,
748,1181542,The Cider House Rules,1999,81648,81648,,,,,,Pass,Pass,,
136413,1380264267,The Boss,2016,12282964,12282964,,,,,,Pass,Pass,,
65165,445791,Dazed and Confused,1993,52676,52676,,,,,,Pass,Pass,,
32136,1412539,The Mothman Prophecies,2002,78600,78600,,,,,,Pass,Pass,,
129282,1481774608,The Gift,2015,129632,129632,,,,,,Pass,Pass,,
132284,1298894394,Burnt,2015,129665,129665,,,,,,Pass,Pass,,
134403,1448271465,The Boy,2016,143868,143868,,,,,,Pass,Pass,,
72837,2391922,The Secret Life of Bees,2008,75417,75417,,,,,,Pass,Pass,,
136346,1867718854,Hardcore Henry,2015,145680,145680,,,,,,Pass,Pass,,
147294,3450220506,Kiki Love to Love,2016,1000475,1000475,,,,,,Pass,Pass,,
138138,3235523343,Bad Moms,2016,12286296,12286296,,,,,,Pass,Pass,,
141173,1068412582,Skiptrace,2016,149162,149162,,,,,,Pass,Pass,,
141924,1380264287,Snowden,2016,151170,151170,,,,,,Pass,Pass,,
13956,368524374,The Best Offer,2013,808049,808049,,,,,,Pass,Pass,,
25278,1635603,Detention,2003,5445,5445,,,,,,Pass,Pass,,
34952,422643,The Craft,1996,50085,50085,,,,,,Pass,Pass,,
117483,1135214422,Freedom,2014,863783,863783,,,,,,Pass,Pass,,
931,451150,Trading Places,1983,959986,959986,,,,,,Pass,Pass,,
48276,428642,Friday,1995,50191,50191,,,,,,Pass,Pass,,
5158,2481511,Red Cliff,2008,86452,138897,"[{'138897': 'rovi_id:11736980,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":55,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'source_id': '5158'}]","[{'86452': 'rovi_id:2481511,Map_reason:not found in projectx'}, {'vudu_id': '169531'}]",TRUE,,FALSE,Fail,Fail,FALSE,TRUE
7334,18830827,Never Back Down 2: The Beatdown,2011,8999,8999,,,,,,Pass,Pass,,
136415,1653215423,Demolition,2016,145500,145500,,,,,,Pass,Pass,,
29505,1116623,The Prince of Egypt,1998,55170,55170,,,,,,Pass,Pass,,
79081,1187141,Next Friday,2000,66450,66450,,,,,,Pass,Pass,,
5274,11739465,Tiny Furniture,2010,111652,111652,,,,,,Pass,Pass,,
142355,3158404193,The Birth Of A Nation,2016,160028,160028,,,,,,Pass,Pass,,
4109,10586953,The Warlords,2007,101319,101319,,,,,,Pass,Pass,,
49694,17637556,Mission: Impossible II,2000,21425,21425,,,,,,Pass,Pass,,
137762,3249908106,The Last King,2016,964270,964270,,,,,,Pass,Pass,,
77158,465690,Interview with the Vampire,1994,71444,71444,,,,,,Pass,Pass,,
11809,2277878,August Rush,2007,72476,72476,,,,,,Pass,Pass,,
20730,455305,Grease,1978,55158,55158,,,,,,Pass,Pass,,
33219,982759652,Mean Girls,2004,76833,76833,,,,,,Pass,Pass,,
139811,1382043108,Legend,2015,143272,143272,,,,,,Pass,Pass,,
34688,2351992,Tropic Thunder,2008,74070,74070,,,,,,Pass,Pass,,
24443,2340464,The Strangers,2008,78956,78956,,,,,,Pass,Pass,,
151944,4638321279,Drone,2017,1015469,1015469,,,,,,Pass,Pass,,
132355,932578022,Crimson Peak,2015,138643,138643,,,,,,Pass,Pass,,
18424,1662552,The Punisher,2004,70134,70134,,,,,,Pass,Pass,,
137289,1131592604,The Nice Guys,2016,12281512,12281512,,,,,,Pass,Pass,,
69177,470935834,Space Warriors,2013,118273,118273,,,,,,Pass,Pass,,
137704,685322316,Now You See Me 2,2016,145890,145890,,,,,,Pass,Pass,,
137210,1418489375,Neighbors 2: Sorority Rising,2016,146066,146066,,,,,,Pass,Pass,,
137210,1418489375,Neighbors 2: Sorority Rising,2016,146066,146066,,,,,,Pass,Pass,,
138269,945429487,The Legend of Tarzan,2016,115302,115302,,,,,,Pass,Pass,,
138269,945429487,The Legend of Tarzan,2016,115302,115302,,,,,,Pass,Pass,,
139704,1618824073,War Dogs,2016,148105,148105,,,,,,Pass,Pass,,
65657,459864,Hope Floats,1998,67097,67097,,,,,,Pass,Pass,,
139704,1618824073,War Dogs,2016,148105,148105,,,,,,Pass,Pass,,
38246,426252,Do the Right Thing,1989,74120,74120,,,,,,Pass,Pass,,
244,446403,Mimic,1997,79784,79784,,,,,,Pass,Pass,,
5357,11738886,Monsters,2010,145407,145407,,,,,,Pass,Pass,,
30511,423829,Michael,1996,50459,50459,,,,,,Pass,Pass,,
21187,2397148,Next Day Air,2009,83720,83720,,,,,,Pass,Pass,,
