GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping
71025,1067824,The Man with Two Lives,1942,581762,581762,,,,,,Pass,Pass
71039,2237711,Queen Sized,2008,400836,400836,,,,,,Pass,Pass
71040,1005659973,Duke,2012,28540,28540,,,,,,Pass,Pass
71042,1299020,Tokyo Cowboy,1994,69758,69758,,,,,,Pass,Pass
71045,437392,Who's That Knocking at My Door?,1967,568483,568483,,,,,,Pass,Pass
71047,305933110,Passion,2012,124763,124763,,,,,,Pass,Pass
71054,2292036,Killer Pad,2008,200041,200041,,,,,,Pass,Pass
71056,8840868,Shirley Adams,2009,651188,651188,,,,,,Pass,Pass
71068,1213120,Here on Earth,2000,56795,56795,,,,,,Pass,Pass
71070,6905,The Battle of Midway,1942,1103662,1103662,,,,,,Pass,Pass
71071,366314,Mr. Blue Sky,2007,561157,561157,,,,,,Pass,Pass
71073,931641523,At the Gate of the Ghost,2011,850573,850573,,,,,,Pass,Pass
71083,1078617,Daughters of the Dust,1991,150579,150579,,,,,,Pass,Pass
71091,1085822,Eat Drink Man Woman,1994,55959,55959,,,,,,Pass,Pass
71098,2148267,The History Boys,2006,73265,73265,,,,,,Pass,Pass
71101,1485236,Trapped,2002,68368,68368,,,,,,Pass,Pass
71106,423023,The Tuskegee Airmen,1995,34210,34210,,,,,,Pass,Pass
71109,1083947,Getting Even with Dad,1994,54324,54324,,,,,,Pass,Pass
71130,1296,Robinson Crusoe,1954,501764,501764,,,,,,Pass,Pass
71133,436227,Send Me No Flowers,1964,69554,69554,,,,,,Pass,Pass
71144,1054984,Bill Cracks Down,1937,574820,574820,,,,,,Pass,Pass
71153,19784288,Resistance,2011,769442,769442,,,,,,Pass,Pass
71159,2320887,The Last Hit Man,2008,39949,39949,,,,,,Pass,Pass
71160,326955548,Halo 4: Forward Unto Dawn,2012,12091,12091,,,,,,Pass,Pass
71171,12219902,Anton Chekhov's The Duel,2010,668407,668407,,,,,,Pass,Pass
71175,1070047,Son of Flubber,1963,583069,583069,,,,,,Pass,Pass
71176,308948116,23:59,2011,236997,236997,,,,,,Pass,Pass
