Show_Type,VU_MO_ID,ROVI_ID
MO,6,109753
MO,254,1256673
MO,497,47169
MO,510,1089694
MO,512,431290
MO,519,18416841
MO,548,443216
MO,580,429075
MO,607,424421
MO,635,1086428
MO,641,435482
MO,679,1056185
MO,978,113902
MO,1014,1053903
MO,1042,463958
MO,1197,426282
MO,1200,112031
MO,1207,1070405
MO,1242,433647
MO,1336,464239
MO,1432,1204478
MO,1490,1056321
MO,1778,3198
MO,1895,457948
MO,2046,73172
MO,2159,1091801
MO,2198,470820
MO,2258,1086792
MO,2279,1067670
MO,2321,454309
MO,2392,423368
MO,2557,1080705
MO,2608,1082633
MO,2621,178324
MO,2665,427819
MO,2859,1091218
MO,2909,469600
MO,2938,461974
MO,2982,432710
MO,3003,1094178
MO,3038,435063
MO,3073,451029
MO,3163,1053563
MO,3173,465718
MO,3208,473246
MO,3738,31641
MO,3762,191366
MO,3921,13057376
MO,3960,1775651
MO,4006,240203
MO,4011,242785
MO,4026,162373
MO,4037,1643286
MO,4057,253035
MO,4060,1755069
MO,4063,1659043
MO,4064,542707832
MO,4066,255836
MO,4075,1730287
MO,4085,1788292
MO,4096,1816567
MO,4103,256990
MO,4123,17594076
MO,4176,293633
MO,4187,297936
MO,4226,1059426
MO,4233,1102307
MO,4238,1485651
MO,4250,1065291
MO,4253,1413185
MO,4257,1296947
MO,4275,47745
MO,4278,450115
MO,4287,436269
MO,4293,32697
MO,4298,1590087
MO,4304,433532
MO,4330,1062744
MO,4371,120300
MO,4404,1641433
MO,4406,1541304
MO,4448,46966
MO,4478,252115
MO,4493,41936
MO,4496,2003690
MO,4509,1957153
MO,4743,472137
MO,4744,1087324
MO,4746,435579
MO,4752,430975
MO,4753,472560
MO,4754,450799
MO,4758,428640
MO,4759,1084090
MO,4760,426183
MO,4762,1062990
MO,4764,443341
MO,4767,428646
MO,4771,422594
MO,4772,1095732
MO,4778,1095113
MO,4782,1054342474
MO,4788,1005846857
MO,4791,1001757384
MO,4793,422646
MO,4794,1054338935
MO,4795,435850
MO,4798,431113
MO,4799,425505
MO,4800,972216630
