Hulu_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping
1514676,2467209,White Night Wedding,2008,82504,82504,,,,,,Pass,Pass
1514662,2190351,Dans Paris,2006,73989,73989,,,,,,Pass,Pass
1514675,11938581,Vampires,2010,660635,660635,,,,,,Pass,Pass
1514157,17998962,The Time That Remains,2009,748330,748330,,,,,,Pass,Pass
1514674,11739149,The Myth of the American Sleepover,2010,135152,135152,,,,,,Pass,Pass
1514131,1811317,Turtles Can Fly,2004,143141,143141,,,,,,Pass,Pass
1514156,8874237,The Overbrook Brothers,2009,769938,769938,,,,,,Pass,Pass
1514155,2382479,Rain ,2008,49640,1082858,"[{'49640': 'rovi_id:6707337291,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":25,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '1514155,Map_reason:{""color"":0,""language"":0,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":778,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:1082858"",""id_2"":""hulu:1514155"",""score"":2.9}'}]","[{'49640': 'rovi_id:2382479,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":44,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
1514063,1567766,The Chateau,2001,623921,623921,,,,,,Pass,Pass
1514121,17236432,Someone Else,2006,741653,741653,,,,,,Pass,Pass
1514115,18206339,We Are What We Are,2010,84287,84287,,,,,,Pass,Pass
1514113,10755593,Puzzle ,2009,76498,14565900,"[{'source_id': '1514113,Map_reason:new'}]","[{'76498': 'rovi_id:10755593,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":30,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}]",,,FALSE,Fail,Fail
1514103,18902401,The Princess of Montpensier,2010,758952,14565908,"[{'source_id': '1514103,Map_reason:new'}]","[{'758952': 'rovi_id:18902401,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":180,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,FALSE,Fail,Fail
1514110,1496943429,Stung,2015,154289,154289,,,,,,Pass,Pass
1514108,17867302,Accomplices,2009,745162,745162,,,,,,Pass,Pass
1513918,17708329,A Year Ago in Winter,2008,744031,744031,,,,,,Pass,Pass
1514107,19927982,Walk Away Renee,2011,770603,770603,,,,,,Pass,Pass
1514109,2417427,Unmade Beds,2009,647685,647685,,,,,,Pass,Pass
1512699,6811150596,The Standoff at Sparrow Creek,2018,1086396,1086396,,,,,,Pass,Pass
1512702,6387395369,The Man Who Killed Hitler and Then the Bigfoot,2018,12297221,12297221,,,,,,Pass,Pass
1511359,13022421,The Appeared,2007,722957,14565927,"[{'source_id': '1511359,Map_reason:new'}]","[{'722957': 'rovi_id:13022421,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":144,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,FALSE,Fail,Fail
1512620,13050324,Johnny Mad Dog,2008,725007,725007,,,,,,Pass,Pass
1511358,1180776327,Manglehorn,2014,162961,162961,,,,,,Pass,Pass
1513547,17075175,Leaving ,2009,741199,741199,,,,,,Pass,Pass
1512622,1389712061,Hellions,2015,886586,886586,,,,,,Pass,Pass
1512619,12248440,Death Bell,2008,668495,668495,,,,,,Pass,Pass
1512615,385019,Faintheart,2008,563308,563308,,,,,,Pass,Pass
1510313,1496943411,Killing Them Safely,2015,950447,950447,,,,,,Pass,Pass
1512616,1843847348,Evolution ,2015,967639,967639,,,,,,Pass,Pass
1508314,422533,Letters to Juliet,2010,96987,96987,,,,,,Pass,Pass
1513543,5278707780,I Remember You ,2017,1042644,1042644,,,,,,Pass,Pass
1513545,8875211,Bunny and the Bull,2009,651890,651890,,,,,,Pass,Pass
1512613,1814523174,The Childhood of a Leader,2015,150582,150582,,,,,,Pass,Pass
1512611,4055769191,Beyond the Gates,2016,1003195,1003195,,,,,,Pass,Pass
1508610,1908781,Prime,2005,75655,75655,,,,,,Pass,Pass
1518257,425995,A Little Princess,1995,56689,81794,"[{'56689': 'rovi_id:453714,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":480,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '1518257,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":159,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:81794"",""id_2"":""hulu:1518257"",""score"":3.2}'}]","[{'56689': 'rovi_id:425995,Map_reason:not found in projectx'}]",TRUE,,FALSE,Fail,Fail
1508609,1748848,The Polar Express,2004,95246,95246,,,,,,Pass,Pass
