Hulu_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping
1307431,1083142,The Gift of Love ,1994,40675,40675,,,,,,Pass,Pass
1307481,1350849,Three Days ,2001,25998,25998,,,,,,Pass,Pass
1302087,1181515,Deuce Bigalow: Male Gigolo,1999,59921,59921,,,,,,Pass,Pass
1407336,5964623888,Support the Girls,2018,1062611,1062611,,,,,,Pass,Pass
1306680,10648395,Beauty and the Briefcase,2010,26480,26480,,,,,,Pass,Pass
1307554,1191881,The Man Who Used to Be Me,2000,362678,398247,"[{'source_projectx_id_mapped': 'rovi_id:1291202,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '1307554'}]","[{'rovi_projectx_id_mapped': 'rovi_id:1191881,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
1307554,1191881,The Man Who Used to Be Me,2000,362678,398247,"[{'source_projectx_id_mapped': 'rovi_id:1291202,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '1307554'}]","[{'rovi_projectx_id_mapped': 'rovi_id:1191881,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
1338607,424933,The Krays,1990,51041,51041,,,,,,Pass,Pass
1328801,2352156,Happy-Go-Lucky,2008,79967,79967,,,,,,Pass,Pass
1303158,4374239026,An Inconvenient Sequel: Truth to Power,2017,12289349,12289349,,,,,,Pass,Pass
1303080,6315335926,Ballet Now,2018,1071497,1071497,,,,,,Pass,Pass
