Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
6,109753,928892,928892,,,,,,Pass,Pass
254,1256673,53650,53650,,,,,,Pass,Pass
497,47169,391378,391378,,,,,,Pass,Pass
510,1089694,592930,592930,,,,,,Pass,Pass
512,431290,120606,120606,,,,,,Pass,Pass
519,18416841,112143,112143,,,,,,Pass,Pass
548,443216,50629,50629,,,,,,Pass,Pass
580,429075,74040,12391410,"[{'74040': 'rovi_id:6884443943,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":576,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '580,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":1.0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":0,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":34,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:12391410"",""id_2"":""vudu:580"",""score"":3.9}'}]","[{'74040': 'rovi_id:429075,Map_reason:not found in projectx'}]",TRUE,,FALSE,Fail,Fail
607,424421,62221,14801842,"[{'source_id': '607,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":27,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:153572"",""id_2"":""vudu:607"",""score"":3.4}'}]","[{'62221': 'rovi_id:424421,Map_reason:not found in projectx'}]",,,FALSE,Fail,Fail
635,1086428,52317,52317,,,,,,Pass,Pass
641,435482,80149,577734,"[{'80149': 'rovi_id:1060488,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":84,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '641,Map_reason:{""color"":0,""language"":0,""credits"":0.8888888889,""directors"":1.0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":0,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":55,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:577734"",""id_2"":""vudu:641"",""score"":3.8444444444}'}]","[{'80149': 'rovi_id:435482,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail
679,1056185,76303,14568051,"[{'source_id': '679,Map_reason:not found in projectx'}]","[{'76303': 'rovi_id:1056185,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8571428571428572,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":50,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,FALSE,Fail,Fail
978,113902,530791,530791,,,,,,Pass,Pass
1014,1053903,34672,34672,,,,,,Pass,Pass
1042,463958,7965,7965,,,,,,Pass,Pass
1197,426282,63565,63565,,,,,,Pass,Pass
1200,112031,529960,529960,,,,,,Pass,Pass
1207,1070405,583270,583270,,,,,,Pass,Pass
1242,433647,55977,55977,,,,,,Pass,Pass
1336,464239,57787,57787,,,,,,Pass,Pass
1432,1204478,66731,66731,,,,,,Pass,Pass
1490,1056321,575591,575591,,,,,,Pass,Pass
1778,3198,502271,502271,,,,,,Pass,Pass
1895,457948,144757,144757,,,,,,Pass,Pass
2046,73172,519775,519775,,,,,,Pass,Pass
2159,1091801,63897,63897,,,,,,Pass,Pass
2198,470820,572609,572609,,,,,,Pass,Pass
2258,1086792,109336,109336,,,,,,Pass,Pass
2279,1067670,581672,581672,,,,,,Pass,Pass
2321,454309,569847,569847,,,,,,Pass,Pass
2392,423368,566908,566908,,,,,,Pass,Pass
