Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping,hulu_id_present,gb_id_present
142010,1066635,581125,581125,,,,,,Pass,Pass,,
142011,1072022,584200,584200,,,,,,Pass,Pass,,
142012,433651,567746,567746,,,,,,Pass,Pass,,
142013,2352068,76156,76156,,,,,,Pass,Pass,,
142014,1062988,579136,579136,,,,,,Pass,Pass,,
142015,1066571,56041,56041,,,,,,Pass,Pass,,
142016,1089695,53335,53335,,,,,,Pass,Pass,,
142018,1078276,587565,587565,,,,,,Pass,Pass,,
142019,1973889,38059,38059,,,,,,Pass,Pass,,
142020,1175029,36012,36012,,,,,,Pass,Pass,,
142021,2436688,8187,8187,,,,,,Pass,Pass,,
142022,453861,445497,445497,,,,,,Pass,Pass,,
142023,1069658,582814,582814,,,,,,Pass,Pass,,
142024,1066527,581069,581069,,,,,,Pass,Pass,,
142025,453225,113463,113463,,,,,,Pass,Pass,,
142027,2351993,85632,85632,,,,,,Pass,Pass,,
142028,2351763,80747,80747,,,,,,Pass,Pass,,
142031,2441555,9446,9446,,,,,,Pass,Pass,,
142032,2348340,91903,91903,,,,,,Pass,Pass,,
142033,2352092,76102,76102,,,,,,Pass,Pass,,
142034,2390937,24746,24746,,,,,,Pass,Pass,,
142035,2337494,79116,79116,,,,,,Pass,Pass,,
142036,2398545,5759,5759,,,,,,Pass,Pass,,
142037,2452266,7110,7110,,,,,,Pass,Pass,,
142038,2353922,100309,100309,,,,,,Pass,Pass,,
142039,2352106,86740,86740,,,,,,Pass,Pass,,
142041,2353877,76215,76215,,,,,,Pass,Pass,,
142042,2458130,6069,6069,,,,,,Pass,Pass,,
142043,994723182,96115,96115,,,,,,Pass,Pass,,
142044,20359765,74529,74529,,,,,,Pass,Pass,,
142045,2352047,645388,645388,,,,,,Pass,Pass,,
142046,2391909,87556,87556,,,,,,Pass,Pass,,
142047,1999254,28494,28494,,,,,,Pass,Pass,,
142048,17649654,690237,690237,,,,,,Pass,Pass,,
142051,2352090,78073,78073,,,,,,Pass,Pass,,
142063,2467840,27246,27246,,,,,,Pass,Pass,,
142066,2399710,77353,77353,,,,,,Pass,Pass,,
142067,2386564,646291,646291,,,,,,Pass,Pass,,
142068,365566,7975,7975,,,,,,Pass,Pass,,
142070,2396644,101386,101386,,,,,,Pass,Pass,,
142071,2397013,77364,77364,,,,,,Pass,Pass,,
142072,2304039,644302,644302,,,,,,Pass,Pass,,
142078,2352101,86902,86902,,,,,,Pass,Pass,,
142079,2377835,89159,89159,,,,,,Pass,Pass,,
142082,2391933,74496,74496,,,,,,Pass,Pass,,
142085,20527078,98146,98146,,,,,,Pass,Pass,,
142088,20408620,79613,79613,,,,,,Pass,Pass,,
142091,2432502,6784,6784,,,,,,Pass,Pass,,
142093,2325437,200968,200968,,,,,,Pass,Pass,,
142101,362246,560724,560724,,,,,,Pass,Pass,,
142104,2396637,957375,957375,,,,,,Pass,Pass,,
142107,2352111,83915,83915,,,,,,Pass,Pass,,
142113,2292052,644103,644103,,,,,,Pass,Pass,,
142130,2277601,83099,83099,,,,,,Pass,Pass,,
142140,2390477,646471,646471,,,,,,Pass,Pass,,
142152,2397009,75159,75159,,,,,,Pass,Pass,,
142158,2394787,82406,82406,,,,,,Pass,Pass,,
142263,1000313294,96459,96459,,,,,,Pass,Pass,,
142306,2352016,77787,77787,,,,,,Pass,Pass,,
142388,12010443,118707,436009,"[{'436009': 'rovi_id:1322853639,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":30,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '142388,Map_reason:{""color"":0,""language"":0,""credits"":0.625,""directors"":1.0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":0,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":1589,""run_time_missing"":0,""levenshtein_titles"":0.5769230769,""cosine_titles"":0.7968190729,""partial_titles"":1,""id_1"":""projectx:436009"",""id_2"":""vudu:142388"",""score"":3.0862421498}'}, {'Hulu_id': '34930'}]","[{'118707': 'rovi_id:12010443,Map_reason:not found in projectx'}]",True,,False,Fail,Fail,False,True
142422,2352017,92502,92502,,,,,,Pass,Pass,,
142425,1088916,593097,593097,,,,,,Pass,Pass,,
142440,2397002,109061,109061,,,,,,Pass,Pass,,
142444,2353880,99820,99820,,,,,,Pass,Pass,,
142447,11838299,160473,160473,,,,,,Pass,Pass,,
142449,400054,7443,7443,,,,,,Pass,Pass,,
142456,2263141,643605,643605,,,,,,Pass,Pass,,
142483,2352044,109828,109828,,,,,,Pass,Pass,,
142486,2391924,80954,80954,,,,,,Pass,Pass,,
142492,2353862,78705,78705,,,,,,Pass,Pass,,
142499,2370485,202510,202510,,,,,,Pass,Pass,,
142503,2426170,5510,5510,,,,,,Pass,Pass,,
142504,2352162,83851,83851,,,,,,Pass,Pass,,
142505,2353853,82352,82352,,,,,,Pass,Pass,,
142508,2439955,83480,83480,,,,,,Pass,Pass,,
142521,2352076,74650,74650,,,,,,Pass,Pass,,
142522,2454459,74509,74509,,,,,,Pass,Pass,,
142525,988039625,75122,75122,,,,,,Pass,Pass,,
142531,2391904,74699,74699,,,,,,Pass,Pass,,
142534,17637566,75537,75537,,,,,,Pass,Pass,,
142537,2352119,97699,97699,,,,,,Pass,Pass,,
142611,2352117,645425,645425,,,,,,Pass,Pass,,
142654,2482142,107898,107898,,,,,,Pass,Pass,,
142658,10133203,653907,653907,,,,,,Pass,Pass,,
142689,20651594,90575,90575,,,,,,Pass,Pass,,
142746,2481527,8166,8166,,,,,,Pass,Pass,,
142772,2309787,26994,26994,,,,,,Pass,Pass,,
142800,2391922,75417,75417,,,,,,Pass,Pass,,
142806,2353879,121298,121298,,,,,,Pass,Pass,,
142809,2353859,73696,73696,,,,,,Pass,Pass,,
142812,9707575,652773,75555,"[{'75555': 'rovi_id:2352098,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":64,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'Hulu_id': '51973'}, {'source_id': '142812,Map_reason:{""color"":0,""language"":0,""credits"":0.8888888889,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":43,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:75555"",""id_2"":""vudu:142812"",""score"":3.3444444444}'}]","[{'652773': 'rovi_id:9707575,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":16,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'gb_id': '165110'}]",True,,False,Fail,Fail,False,True
142815,2353852,12262503,12262503,,,,,,Pass,Pass,,
142818,20525631,75921,75921,,,,,,Pass,Pass,,
142821,2491773,6700,6700,,,,,,Pass,Pass,,
142824,2445719,10457,10457,,,,,,Pass,Pass,,
142827,2478794,649466,649466,,,,,,Pass,Pass,,
142830,2451908,6006,6006,,,,,,Pass,Pass,,
142833,2460824,8007,8007,,,,,,Pass,Pass,,
142835,2451137,10543,10543,,,,,,Pass,Pass,,
142836,6782257,5746,5746,,,,,,Pass,Pass,,
142871,2464487,12263050,12263050,,,,,,Pass,Pass,,
142992,340709,559402,21126,"[{'21126': 'rovi_id:2396967,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":10,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'Hulu_id': '34179'}, {'source_id': '142992,Map_reason:{""color"":0,""language"":0,""credits"":1.0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":20,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:21126"",""id_2"":""vudu:142992"",""score"":3.4}'}]","[{'559402': 'rovi_id:340709,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":560,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail,False,True
142993,2353886,110149,110149,,,,,,Pass,Pass,,
143179,2397062,91886,91886,,,,,,Pass,Pass,,
143193,2352156,79967,79967,,,,,,Pass,Pass,,
143194,2371407,6672,6672,,,,,,Pass,Pass,,
143197,2351981,91919,91919,,,,,,Pass,Pass,,
