GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
14749,22023391,3327119,3327119,,,,,,Pass,Pass
20933,1020105542,3961451,3961451,,,,,,Pass,Pass
32178,1121828172,2732586,2732586,,,,,,Pass,Pass
13642,881938,2740068,2740068,,,,,,Pass,Pass
13689,480675,2736570,2736570,,,,,,Pass,Pass
613,17892128,7061546,7061546,,,,,,Pass,Pass
66,469459,2770453,2770453,,,,,,Pass,Pass
68,2334107,3227606,3227606,,,,,,Pass,Pass
13620,747218,2796156,2796156,,,,,,Pass,Pass
2296,1822703047,2865215,2865215,,,,,,Pass,Pass
2445,1739620,5151497,5151497,,,,,,Pass,Pass
159,1790203,12258170,12258170,,,,,,Pass,Pass
166,18830383,3188568,3188568,,,,,,Pass,Pass
165,18830442,3243871,3243871,,,,,,Pass,Pass
1587,2444634,2849913,2849913,,,,,,Pass,Pass
446,1672492,2892047,7363233,"[{'7363233': 'rovi_id:19635329,Map_reason:not found in projectx'}, {'source_id': '446,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.5,""directors"":0.0,""part_names"":0.0833333333,""episode_titles"":0.0,""genres"":0.3333333333,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":0.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":0.0,""release_year"":0.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":1.0,""run_time_diff"":0.0,""run_time_missing"":1.0,""levenshtein_titles"":0.3529411765,""cosine_titles"":0.4216370214,""partial_titles"":1.0,""score"":1.8912448645}'}]","[{'2892047': 'rovi_id:1672492,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
171,18829943,3142606,3142606,,,,,,Pass,Pass
173,431050,3007355,3007355,,,,,,Pass,Pass
