GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
14749,22023391,3327119,3327119,,,,,,Pass,Pass
20933,1020105542,3961451,3961451,,,,,,Pass,Pass
32178,1121828172,2732586,2732586,,,,,,Pass,Pass
13642,881938,2740068,2740068,,,,,,Pass,Pass
13689,480675,2736570,2736570,,,,,,Pass,Pass
613,17892128,7061546,7061546,,,,,,Pass,Pass
66,469459,2770453,2770453,,,,,,Pass,Pass
68,2334107,3227606,3227606,,,,,,Pass,Pass
13620,747218,2796156,2796156,,,,,,Pass,Pass
2296,1822703047,2865215,2865215,,,,,,Pass,Pass
2445,1739620,5151497,5151497,,,,,,Pass,Pass
159,1790203,12258170,12258170,,,,,,Pass,Pass
166,18830383,3188568,3188568,,,,,,Pass,Pass
165,18830442,3243871,3243871,,,,,,Pass,Pass
1587,2444634,2849913,2849913,,,,,,Pass,Pass
446,1672492,2892047,7363233,"[{'source_projectx_id_mapped': 'rovi_id:19635329,Map_reason:not found in projectx'}, {'sourceId': '446'}]","[{'rovi_projectx_id_mapped': 'rovi_id:1672492,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
171,18829943,3142606,3142606,,,,,,Pass,Pass
173,431050,3007355,3007355,,,,,,Pass,Pass
1695,11947579,3094743,3094743,,,,,,Pass,Pass
1707,917607,2759982,2759982,,,,,,Pass,Pass
1720,506534,3220857,3220857,,,,,,Pass,Pass
