HuluSeriesId,Ozone series id
23104,423676
2526,19955815
969,2001797
14534,657909895
42968,6158516961
10134,9641117
29573,3598912438
45691,6126106459
27929,1718521201
948,1499462256
27927,3498736112
45630,7301248684
15419,545271034
45275,6126101751
42964,6841046834
41614,6482947622
11907,288179084
46246,7417305400
30964,4441150261
37594,1716560916
18159,1100126377
149,1833559
40737,6305562767
36549,5134616722
10921,556694734
16842,853368025
17312,885603082
45192,6114844956
45629,7235156530
45693,6523519545
45694,6322515121
45692,7215013089
38393,3927953791
4726,12219366
22015,18941804
45604,6387226164
40270,6125184753
38378,1632179508
45400,6274335618
39605,6105279550
40148,6205370070
44206,6118130991
28927,3529341346
37924,4835465601
10008,22537135
33387,3469817500
20623,1213595658
45563,7366511731
27441,3447017149
42462,6685104582
15533,969719785
24499,1520308324
41615,6482947620
28945,3958610517
28941,3958606470
39878,3469804542
45021,7209092198
108,1943063
37925,4524138849
14717,438295376
11258,66762494
16720,548704327
25077,1520308398
43726,6094002164
44195,5332969924
44128,6118122449
43858,6835157316
19738,1046915120
41052,6133056103
28398,3537275773
45265,7269915750
43234,6114828796
43857,6093695423
43730,6387226156
77,678766
28111,1352271327
35103,3958611399
25839,1520308254
389,1103250
15137,545238693
2252,1790203
38391,5764326624
44318,424457
41108,2169469
10077,1665868
36295,5154536337
58,424454
54,469459
4910,13895757
40932,6126169752
183,1700379
2528,372792
15630,66528719
30678,1527043832
39077,5968899845
43715,6126145635
7560,18829943
35,1855730
6653,8190180
18926,1089763045
31785,1468614244
41053,6126108667
42966,5710542753
2553,17503250
15360,551107132
40980,6356873250
38824,5735958523
21027,1046915345
29200,1795686198
36342,4571561276
30975,3912405551
26129,1487574183
31748,3361848647
2465,2496292
6901,66043970
22397,288923
34058,4833219966
19289,951700899
10405,19099285
39882,1693274276
30618,3971708507
41276,379188
44626,7171855777
33370,3150749058
16531,2481212
44413,7079665665
19937,9660826
41140,6085573603
29466,2077737823
44170,299922709
36368,5620438188
28402,3537303730
21869,1059913750
16937,864102044
37843,4515301695
43265,6093644104
14658,585245965
44208,6967197854
32435,3432828826
28409,3569700416
36382,4607821614
12547,21702641
44199,7030158022
44790,5892936400
14518,2280339
36553,4595486221
2458,2490775
10526,291424
30694,1733519651
29849,1330166525
38827,4501611638
43245,6857040883
18373,1024698983
28880,3496228154
14948,595046614
38835,4803539292
16388,526606215
41230,3743637068
18104,500774877
38928,4007516256
44794,5609903532
31300,4057895882
6610,18821250
31017,535276008
44489,6393212280
27870,1531422496
42849,5628083311
28076,729774554
42687,3709278889
20477,1163403567
20233,297353587
44485,724318699
24002,1861832157
34368,4571912205
42606,4611217194
35082,7283969042
13482,67048271
40393,7240626252
39875,5329793744
39811,593542918
44153,6464596275
43592,6791972832
42764,6387110321
43264,5730186065
42658,6136567814
19681,961678690
41137,5238795617
28173,3355649171
34202,4839848697
43731,7003570292
20900,22327679
21915,1352212822
12666,66674216
43240,6848998183
41107,6104835402
3433,17892128
22413,554104529
27402,1053487330
8971,12416270
39791,6048860312
18315,1034922923
148,1808332
40452,6278188013
32325,1509549718
2163,1783272
40954,6363757302
34334,1748341669
150,2228037
38570,3388593113
31163,4418226151
26440,2003648894
41594,6266988596
66,425355
42746,6834589992
24192,1460764233
42522,6958432941
40931,6090076954
404,2280424
43255,6875343947
2467,394845
4638,971058
41106,6126145627
42690,6797614545
42691,1509238735
33768,1830515077
30270,3960105000
28410,3543112159
512,425957
4289,432465
32868,3357338508
34676,1344536711
6979,429121
21709,21612328
