Hulu_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping series
23104,423676,3237787,3237787,,,,,,Pass,Pass
2526,19955815,7416640,7416640,,,,,,Pass,Pass
969,2001797,5268599,5268599,,,,,,Pass,Pass
14534,657909895,8361785,8361785,,,,,,Pass,Pass
42968,6158516961,11589819,11589819,,,,,,Pass,Pass
10134,9641117,3754885,3754885,,,,,,Pass,Pass
29573,3598912438,3901739,3901739,,,,,,Pass,Pass
45691,6126106459,11578468,11578468,,,,,,Pass,Pass
27929,1718521201,9493056,9493056,,,,,,Pass,Pass
948,1499462256,9392659,5406518,"[{'9392659': 'rovi_id:2323136,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":0,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.0}'}, {'source_id': '948,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":1063.0,""run_time_missing"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.2}'}]","[{'9392659': 'rovi_id:1499462256,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":0,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.0}'}]",True,,False,Fail,Fail
27927,3498736112,10362103,10362103,,,,,,Pass,Pass
45630,7301248684,13778697,13778697,,,,,,Pass,Pass
15419,545271034,3375256,3375256,,,,,,Pass,Pass
45275,6126101751,11578637,11578637,,,,,,Pass,Pass
42964,6841046834,12336959,12336959,,,,,,Pass,Pass
41614,6482947622,11692299,11692299,,,,,,Pass,Pass
11907,288179084,7831856,7831856,,,,,,Pass,Pass
46246,7417305400,14007131,14007131,,,,,,Pass,Pass
30964,4441150261,10886143,10886143,,,,,,Pass,Pass
37594,1716560916,9491316,14631881,"[{'source_id': '37594,Map_reason:new'}]","[{'9491316': 'rovi_id:1716560916,Map_reason:not found in projectx'}]",,,False,Fail,Fail
18159,1100126377,3906606,3906606,,,,,,Pass,Pass
149,1833559,2787591,2787591,,,,,,Pass,Pass
40737,6305562767,11641043,11641043,,,,,,Pass,Pass
36549,5134616722,11209961,11209961,,,,,,Pass,Pass
10921,556694734,8242674,8242674,,,,,,Pass,Pass
16842,853368025,8622999,8622999,,,,,,Pass,Pass
17312,885603082,3523975,3523975,,,,,,Pass,Pass
45192,6114844956,11576230,11576230,,,,,,Pass,Pass
45629,7235156530,13694052,13694052,,,,,,Pass,Pass
45693,6523519545,11704046,11704046,,,,,,Pass,Pass
45694,6322515121,11639686,11639686,,,,,,Pass,Pass
45692,7215013089,13666828,13666828,,,,,,Pass,Pass
38393,3927953791,4572686,4572686,,,,,,Pass,Pass
4726,12219366,12264638,14619139,"[{'source_id': '4726,Map_reason:new'}]","[{'12264638': 'rovi_id:12219366,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":123,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}]",,,False,Fail,Fail
22015,18941804,3085148,3085148,,,,,,Pass,Pass
45604,6387226164,11663263,11663263,,,,,,Pass,Pass
40270,6125184753,11580155,11580155,,,,,,Pass,Pass
38378,1632179508,9452001,9452001,,,,,,Pass,Pass
45400,6274335618,11625228,14050711,"[{'source_id': '45400,Map_reason:{""color"":1,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:14050711"",""id_2"":""hulu:45400"",""score"":4.2}'}]","[{'11625228': 'rovi_id:6274335618,Map_reason:not found in projectx'}]",,,False,Fail,Fail
39605,6105279550,3983954,3983954,,,,,,Pass,Pass
40148,6205370070,11604145,11604145,,,,,,Pass,Pass
44206,6118130991,11576172,11576172,,,,,,Pass,Pass
28927,3529341346,3975012,3975012,,,,,,Pass,Pass
37924,4835465601,11071787,11071787,,,,,,Pass,Pass
10008,22537135,2986952,2986952,,,,,,Pass,Pass
33387,3469817500,10348499,10348499,,,,,,Pass,Pass
20623,1213595658,3512826,3512826,,,,,,Pass,Pass
45563,7366511731,13910709,14167017,"[{'source_id': '45563,Map_reason:{""color"":1.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":1.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":4.2}'}]","[{'13910709': 'rovi_id:7366511731,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":0,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.0}'}]",,,False,Fail,Fail
27441,3447017149,10338675,10338675,,,,,,Pass,Pass
42462,6685104582,11747171,11675538,"[{'11747171': 'rovi_id:6432751816,Map_reason:not found in projectx'}, {'source_id': '42462,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""levenshtein_titles"":0.6666666667,""cosine_titles"":0.7888106377,""partial_titles"":1,""id_1"":""projectx:11675538"",""id_2"":""hulu:42462"",""score"":3.6554773044}'}]","[{'11747171': 'rovi_id:6685104582,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
15533,969719785,3534494,3534494,,,,,,Pass,Pass
24499,1520308324,3695401,3695401,,,,,,Pass,Pass
41615,6482947620,11692302,11692302,,,,,,Pass,Pass
28945,3958610517,10488559,10488559,,,,,,Pass,Pass
28941,3958606470,10488671,10488671,,,,,,Pass,Pass
39878,3469804542,4008325,4008325,,,,,,Pass,Pass
45021,7209092198,13654311,13714916,"[{'source_id': '45021,Map_reason:{""color"":1,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13714916"",""id_2"":""hulu:45021"",""score"":4.2}'}]","[{'13654311': 'rovi_id:7209092198,Map_reason:not found in projectx'}]",,,False,Fail,Fail
108,1943063,2914289,2914289,,,,,,Pass,Pass
37925,4524138849,10938583,10938583,,,,,,Pass,Pass
14717,438295376,8116534,8116534,,,,,,Pass,Pass
11258,66762494,3352309,3352309,,,,,,Pass,Pass
16720,548704327,3548098,3548098,,,,,,Pass,Pass
25077,1520308398,3885860,3885860,,,,,,Pass,Pass
43726,6094002164,11570177,11570177,,,,,,Pass,Pass
44195,5332969924,11301732,13061996,"[{'source_id': '44195,Map_reason:{""color"":1,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":0.9,""run_time"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13061996"",""id_2"":""hulu:44195"",""score"":4.18}'}]","[{'11301732': 'rovi_id:5332969924,Map_reason:not found in projectx'}]",,,False,Fail,Fail
44128,6118122449,11576225,11576225,,,,,,Pass,Pass
43858,6835157316,12319395,12319395,,,,,,Pass,Pass
19738,1046915120,3561569,3561569,,,,,,Pass,Pass
41052,6133056103,11580878,11580878,,,,,,Pass,Pass
28398,3537275773,10375582,10375582,,,,,,Pass,Pass
45265,7269915750,13734096,13734096,,,,,,Pass,Pass
43234,6114828796,11576412,11576412,,,,,,Pass,Pass
43857,6093695423,11570161,11570161,,,,,,Pass,Pass
43730,6387226156,11663205,11663205,,,,,,Pass,Pass
77,678766,3187938,3187938,,,,,,Pass,Pass
28111,1352271327,3703761,3703761,,,,,,Pass,Pass
35103,3958611399,10489061,10489061,,,,,,Pass,Pass
25839,1520308254,3728358,3728358,,,,,,Pass,Pass
389,1103250,3001199,3001199,,,,,,Pass,Pass
15137,545238693,3455374,3455374,,,,,,Pass,Pass
2252,1790203,12258170,12258170,,,,,,Pass,Pass
38391,5764326624,3982498,3982498,,,,,,Pass,Pass
44318,424457,2737436,2737436,,,,,,Pass,Pass
41108,2169469,4011331,6526478,"[{'4011331': 'rovi_id:6108010615,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":9,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'source_id': '41108,Map_reason:{""color"":0,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:6526478"",""id_2"":""hulu:41108"",""score"":4.2}'}]","[{'4011331': 'rovi_id:2169469,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
10077,1665868,2978015,2978015,,,,,,Pass,Pass
36295,5154536337,3942662,3942662,,,,,,Pass,Pass
58,424454,2950465,2950465,,,,,,Pass,Pass
54,469459,2770453,2770453,,,,,,Pass,Pass
4910,13895757,3730824,3730824,,,,,,Pass,Pass
40932,6126169752,11578691,11578691,,,,,,Pass,Pass
183,1700379,2868503,14531875,"[{'source_id': '183,Map_reason:new'}]","[{'2868503': 'rovi_id:1700379,Map_reason:not found in projectx'}]",,,False,Fail,Fail
2528,372792,3116951,3116951,,,,,,Pass,Pass
15630,66528719,3388352,14622032,"[{'source_id': '15630,Map_reason:new'}]","[{'3388352': 'rovi_id:66528719,Map_reason:not found in projectx'}]",,,False,Fail,Fail
30678,1527043832,3732547,3732547,,,,,,Pass,Pass
39077,5968899845,4000788,4000788,,,,,,Pass,Pass
43715,6126145635,11578470,11578470,,,,,,Pass,Pass
7560,18829943,3142606,3142606,,,,,,Pass,Pass
35,1855730,2790678,2790678,,,,,,Pass,Pass
6653,8190180,2995283,2995283,,,,,,Pass,Pass
18926,1089763045,3470733,3470733,,,,,,Pass,Pass
31785,1468614244,9363617,9363617,,,,,,Pass,Pass
41053,6126108667,11578368,11578368,,,,,,Pass,Pass
42966,5710542753,11446157,11446157,,,,,,Pass,Pass
2553,17503250,2856416,2856416,,,,,,Pass,Pass
15360,551107132,3441971,3441971,,,,,,Pass,Pass
40980,6356873250,11650756,11650756,,,,,,Pass,Pass
38824,5735958523,11464917,11464917,,,,,,Pass,Pass
21027,1046915345,6847620,6847620,,,,,,Pass,Pass
29200,1795686198,3851648,3851648,,,,,,Pass,Pass
36342,4571561276,3974947,3974947,,,,,,Pass,Pass
30975,3912405551,3835753,3835753,,,,,,Pass,Pass
26129,1487574183,9382417,9382417,,,,,,Pass,Pass
31748,3361848647,10294431,10294431,,,,,,Pass,Pass
2465,2496292,3010770,3010770,,,,,,Pass,Pass
6901,66043970,7626278,7626278,,,,,,Pass,Pass
22397,288923,2786375,2786375,,,,,,Pass,Pass
34058,4833219966,3964299,3964299,,,,,,Pass,Pass
19289,951700899,3919012,3919012,,,,,,Pass,Pass
10405,19099285,7313831,7313831,,,,,,Pass,Pass
39882,1693274276,9476557,9476557,,,,,,Pass,Pass
30618,3971708507,3786898,3786898,,,,,,Pass,Pass
41276,379188,4154973,4154973,,,,,,Pass,Pass
44626,7171855777,13601040,13601040,,,,,,Pass,Pass
33370,3150749058,3752168,3752168,,,,,,Pass,Pass
16531,2481212,3231760,3231760,,,,,,Pass,Pass
44413,7079665665,13485311,13485311,,,,,,Pass,Pass
19937,9660826,3440993,3440993,,,,,,Pass,Pass
41140,6085573603,4003702,4003702,,,,,,Pass,Pass
29466,2077737823,3741553,3741553,,,,,,Pass,Pass
44170,299922709,3397857,3397857,,,,,,Pass,Pass
36368,5620438188,11411039,11411039,,,,,,Pass,Pass
28402,3537303730,3961221,3961221,,,,,,Pass,Pass
21869,1059913750,3717798,3717798,,,,,,Pass,Pass
16937,864102044,3931245,3931245,,,,,,Pass,Pass
37843,4515301695,10932410,10932410,,,,,,Pass,Pass
43265,6093644104,11569952,11569952,,,,,,Pass,Pass
14658,585245965,3896627,3896627,,,,,,Pass,Pass
44208,6967197854,12795654,12795654,,,,,,Pass,Pass
32435,3432828826,10332334,10332334,,,,,,Pass,Pass
28409,3569700416,3907797,3907797,,,,,,Pass,Pass
36382,4607821614,10976601,10976601,,,,,,Pass,Pass
12547,21702641,3228671,3228671,,,,,,Pass,Pass
44199,7030158022,12928990,12928990,,,,,,Pass,Pass
44790,5892936400,3965658,3965658,,,,,,Pass,Pass
14518,2280339,2896131,2896131,,,,,,Pass,Pass
36553,4595486221,10971214,10971214,,,,,,Pass,Pass
2458,2490775,3035930,3035930,,,,,,Pass,Pass
10526,291424,3053265,14128790,"[{'source_id': '10526,Map_reason:{""color"":1.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.641025641,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0,""score"":3.841025641}'}]","[{'3053265': 'rovi_id:291424,Map_reason:not found in projectx'}]",,,False,Fail,Fail
30694,1733519651,9499559,9499559,,,,,,Pass,Pass
29849,1330166525,9234293,9234293,,,,,,Pass,Pass
38827,4501611638,10915673,10915673,,,,,,Pass,Pass
43245,6857040883,12365669,12365669,,,,,,Pass,Pass
18373,1024698983,8851400,8851400,,,,,,Pass,Pass
28880,3496228154,10360536,10360536,,,,,,Pass,Pass
14948,595046614,3715872,3715872,,,,,,Pass,Pass
38835,4803539292,11056238,11056238,,,,,,Pass,Pass
16388,526606215,3397424,3397424,,,,,,Pass,Pass
41230,3743637068,3860175,3860175,,,,,,Pass,Pass
18104,500774877,3685370,3685370,,,,,,Pass,Pass
38928,4007516256,10513987,10513987,,,,,,Pass,Pass
44794,5609903532,11408155,11408155,,,,,,Pass,Pass
31300,4057895882,10578709,10578709,,,,,,Pass,Pass
6610,18821250,7227940,7227940,,,,,,Pass,Pass
31017,535276008,3973315,3973315,,,,,,Pass,Pass
44489,6393212280,11657892,11657892,,,,,,Pass,Pass
27870,1531422496,3582263,3582263,,,,,,Pass,Pass
42849,5628083311,11413692,11413692,,,,,,Pass,Pass
28076,729774554,3771897,3771897,,,,,,Pass,Pass
42687,3709278889,3802117,3802117,,,,,,Pass,Pass
20477,1163403567,3750694,3750694,,,,,,Pass,Pass
20233,297353587,3282288,3282288,,,,,,Pass,Pass
44485,724318699,3821974,3821974,,,,,,Pass,Pass
24002,1861832157,9952006,9952006,,,,,,Pass,Pass
34368,4571912205,3928640,3928640,,,,,,Pass,Pass
42606,4611217194,10977868,10977868,,,,,,Pass,Pass
35082,7283969042,12953806,12953806,,,,,,Pass,Pass
13482,67048271,3363023,3363023,,,,,,Pass,Pass
40393,7240626252,13048529,13048529,,,,,,Pass,Pass
39875,5329793744,11299954,11299954,,,,,,Pass,Pass
39811,593542918,3392732,14634111,"[{'source_id': '39811,Map_reason:new'}]","[{'3392732': 'rovi_id:593542918,Map_reason:not found in projectx'}]",,,False,Fail,Fail
44153,6464596275,11687887,11687887,,,,,,Pass,Pass
43592,6791972832,11779367,11779367,,,,,,Pass,Pass
42764,6387110321,11663358,11663358,,,,,,Pass,Pass
43264,5730186065,11463168,13798449,"[{'source_id': '43264,Map_reason:{""color"":1,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":1,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":0,""run_time_missing"":1,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13798449"",""id_2"":""hulu:43264"",""score"":4.3}'}]","[{'11463168': 'rovi_id:5730186065,Map_reason:not found in projectx'}]",,,False,Fail,Fail
42658,6136567814,11606064,11606064,,,,,,Pass,Pass
19681,961678690,3515085,3515085,,,,,,Pass,Pass
41137,5238795617,11262387,11262387,,,,,,Pass,Pass
28173,3355649171,3795251,3795251,,,,,,Pass,Pass
34202,4839848697,3925360,3925360,,,,,,Pass,Pass
43731,7003570292,12923854,12923854,,,,,,Pass,Pass
20900,22327679,3240575,3240575,,,,,,Pass,Pass
21915,1352212822,3744632,3744632,,,,,,Pass,Pass
12666,66674216,3292853,3292853,,,,,,Pass,Pass
43240,6848998183,12353465,12353465,,,,,,Pass,Pass
41107,6104835402,11572421,11572421,,,,,,Pass,Pass
3433,17892128,7061546,7061546,,,,,,Pass,Pass
22413,554104529,3482375,3482375,,,,,,Pass,Pass
