Vudu_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping series
132909,1561837,2833074,2833074,,,,,,Pass,Pass
135247,1549972,2763727,2763727,,,,,,Pass,Pass
257155,674114,3574574,3574574,,,,,,Pass,Pass
211732,1107525,2772039,2772039,,,,,,Pass,Pass
282058,1472743,2770634,2770634,,,,,,Pass,Pass
263365,676534,2750544,2750544,,,,,,Pass,Pass
1090454,1872851,2790673,2790673,,,,,,Pass,Pass
540803,253570,8884912,8884912,,,,,,Pass,Pass
134416,423471,2732547,2732547,,,,,,Pass,Pass
211458,623971721,8311183,8311183,,,,,,Pass,Pass
135405,11730078,3373495,3373495,,,,,,Pass,Pass
195227,286362,4122602,4122602,,,,,,Pass,Pass
97899,96631,4023530,4023530,,,,,,Pass,Pass
133969,925531,2938730,2938730,,,,,,Pass,Pass
9553,863606,2813381,2813381,,,,,,Pass,Pass
129220,17537987,2757212,2757212,,,,,,Pass,Pass
129288,1424739,4980783,4980783,,,,,,Pass,Pass
129400,997158950,6359302,6359302,,,,,,Pass,Pass
129458,2124203,2811375,2811375,,,,,,Pass,Pass
129473,1836145,2785194,2785194,,,,,,Pass,Pass
129520,2001738,2807021,2807021,,,,,,Pass,Pass
129551,426095,2732779,2732779,,,,,,Pass,Pass
129702,451212,4314568,4314568,,,,,,Pass,Pass
129801,1378307,2746712,2746712,,,,,,Pass,Pass
129843,469459,2770453,2770453,,,,,,Pass,Pass
129953,1833819,12260304,12260304,,,,,,Pass,Pass
130008,931231,2732730,2732730,,,,,,Pass,Pass
129791,423850,6348118,6348118,,,,,,Pass,Pass
130238,431068,2802183,2802183,,,,,,Pass,Pass
130573,1855730,2790678,2790678,,,,,,Pass,Pass
130622,1962200,2837350,2837350,,,,,,Pass,Pass
130646,274312,4110571,4110571,,,,,,Pass,Pass
130701,292123,4125681,4125681,,,,,,Pass,Pass
130877,279809,4117827,4117827,,,,,,Pass,Pass
132422,2170297,2806875,2806875,,,,,,Pass,Pass
132898,2169560,2829205,2829205,,,,,,Pass,Pass
133027,1835027,2787160,2787160,,,,,,Pass,Pass
133088,17489293,3032426,3032426,,,,,,Pass,Pass
133103,2168798,2807087,2807087,,,,,,Pass,Pass
133119,2168651,2980885,2980885,,,,,,Pass,Pass
133156,761310,3205315,3205315,,,,,,Pass,Pass
133192,327940,3095461,3095461,,,,,,Pass,Pass
133241,423684,2763853,2763853,,,,,,Pass,Pass
133786,1835054,3032243,3032243,,,,,,Pass,Pass
133866,1104787,2765021,2765021,,,,,,Pass,Pass
703098,869345,4662616,4662616,,,,,,Pass,Pass
135063,427903,4244378,4244378,,,,,,Pass,Pass
135216,1673581,2767779,2767779,,,,,,Pass,Pass
135214,2001241,2834551,2834551,,,,,,Pass,Pass
135379,496709,4378706,4378706,,,,,,Pass,Pass
135586,423675,12258232,12258232,,,,,,Pass,Pass
135836,423420,2779702,2779702,,,,,,Pass,Pass
135885,1294494,2758506,2758506,,,,,,Pass,Pass
136062,345653,4144605,4144605,,,,,,Pass,Pass
136083,462197,2733062,2733062,,,,,,Pass,Pass
136247,1529726,2763376,2763376,,,,,,Pass,Pass
136080,1709816,4778962,4778962,,,,,,Pass,Pass
136215,168299,4037058,4037058,,,,,,Pass,Pass
84837,49483,3814660,3814660,,,,,,Pass,Pass
