Gb_id,Movie_name,Release_year,Rovi_id,
7,Being John Malkovich,1999,1187058,
13,Stigmata,1999,1162605,
15,Blue Collar,1978,442811,
25428,Unforgiven,1992,1081997,
54191,Minority Report,2002,1483520,
14280,The Incredible Hulk,2008,982759669,
141641,Kicks,2016,3249911725,
748,The Cider House Rules,1999,1181542,
32136,The Mothman Prophecies,2002,1412539,
132284,Burnt,2015,1298894394,
134403,The Boy,2016,1448271465,
136346,Hardcore Henry,2016,1867718854,
147294,Kiki Love to Love,2016,3450220506,
13956,The Best Offer,2013,368524374,
931,Trading Places,1983,451150,
5158,Red Cliff,2008,2481511,
29505,The Prince of Egypt,1998,1116623,
5274,Tiny Furniture,2010,11739465,
142355,The Birth Of A Nation,2016,3158404193,
49694,Mission: Impossible II,2000,17637556,
20730,Grease,1978,455305,
24443,The Strangers,2008,2340464,
132355,Crimson Peak,2015,932578022,
18424,The Punisher,2004,1662552,
137289,The Nice Guys,2016,1131592604,
137704,Now You See Me 2,2016,685322316,
137210,Neighbors 2: Sorority Rising,2016,1418489375,
138269,The Legend of Tarzan,2016,945429487,
139704,War Dogs,2016,1618824073,
139704,War Dogs,2016,1618824073,
30511,Michael,1996,423829,
131503,Matt Braunger: Big Dumb Animal,2015,1375421210,
93031,Finding Vivian Maier,2014,669400720,
147832,Sky on Fire,2016,4194983373,
154374,Death Note,2017,5057390746,
29814,Frailty,2001,1449811,
8542,Happy,2011,14718808,
116991,The D Train,2015,1370825985,
140314,Hard Target 2,2016,3525200042,
140316,R.L. Stine's Mostly Ghostly: One Night in Doom House,2016,3986123992,
141230,Rampage: President Down,2016,3965396128,
141788,Finding Altamira,2016,3433349271,
143843,Heidi,2015,2012569594,
151084,Bigger Fatter Liar,2017,4545167630,
31089,Practical Magic,1998,16881272,
65556,13 Going on 30,2004,1665145,
32662,Inglourious Basterds,2009,2428884,
136217,The Invitation,2015,3280537297,
136563,Sing Street,2016,1505270862,
152213,Berlin Syndrome,2017,4130223079,
38986,Across the Universe,2007,2224930,
33227,The Last Mimzy,2007,2173633,
83316,Rugrats Go Wild,2003,1581818,
82679,Monster High: Friday Night Frights,2013,364549243,
4995,13 Assassins,2010,16851970,
47781,The Hero of Color City,2014,670713348,
115729,The Physician,2013,383637699,
2471,Brick,2005,1977686,
66951,Mallrats,1995,990708575,
53622,Blue Jasmine,2013,982759549,
48566,Jerry Maguire,1996,427764,
1107,Pretty in Pink,1986,991658453,
19910,Big,1988,457495,
133474,Star Wars: The Force Awakens,2015,1152362607,
36707,Men of Honor,2000,1279993,
58626,The Tiger's Tail,2006,319624,
112663,We'll Never Have Paris,2014,1100842663,
32588,The Open Road,2009,6764423,
89260,Jumpin' At The Boneyard,1992,470358,
81109,Buffalo '66,1998,471217,
1854,Trainspotting,1996,428620,
74964,Dead Silence,2007,2166354,
51475,The Firm,1993,447023,
11,The Last Temptation of Christ,1988,435053,
14,My Life So Far,1999,1162949,
61153,Fast Times at Ridgemont High,1982,1057887,
30452,The Breakfast Club,1985,982760346,
1504,Rain Man,1988,1066671,
136413,The Boss,2016,1380264267,
65165,Dazed and Confused,1993,445791,
129282,The Gift,2015,1481774608,
152388,The Inquisition of Camilo Sanz,2014,4173268428,
72837,The Secret Life of Bees,2008,2391922,
138138,Bad Moms,2016,3235523343,
152366,Spark,2016,5124489693,
141173,Skiptrace,2016,1068412582,
141924,Snowden,2016,1380264287,
25278,Detention,2003,1635603,
152746,Locos de Amor,2016,3502750504,
34952,The Craft,1996,422643,
117483,Freedom,2014,1135214422,
48276,Friday,1995,428642,
136415,Demolition,2016,1653215423,
79081,Next Friday,2000,1187141,
1771,White Chicks,2004,1686443,
4109,The Warlords,2007,10586953,
137762,The Last King,2016,3249908106,
77158,Interview with the Vampire,1994,465690,
11809,August Rush,2007,2277878,
33219,Mean Girls,2004,982759652,
139811,Legend,2015,1382043108,
34688,Tropic Thunder,2008,2351992,
151944,Drone,2017,4638321279,
69177,Space Warriors,2013,470935834,
137829,Growing Up Coy,2016,3496989642,
137210,Neighbors 2: Sorority Rising,2016,1418489375,
138269,The Legend of Tarzan,2016,945429487,
65657,Hope Floats,1998,459864,
38246,Do the Right Thing,1989,426252,
244,Mimic,1997,446403,
5357,Monsters,2010,11738886,
129105,Wasp,2015,1462692004,
21187,Next Day Air,2009,2397148,
48028,Leatherheads,2008,2319289,
89832,Miss You Can Do It,2013,509114315,
135719,The Confirmation,2016,1690571024,
116293,The Harvest,2013,1109814467,
116973,Absolution,2015,1496475666,
134375,The Land Before Time XIV: Journey of the Brave,2016,3237783795,
142337,Marvel's Hulk: Where Monsters Dwell,2016,4076761705,
113705,Yves Saint Laurent,2014,860208228,
139710,The People vs. Fritz Bauer,2015,3142090471,
142125,Danny Says,2015,1292643234,
744,Following,1999,1450755,
30807,The Matrix Reloaded,2003,1569968,
280,Scream,1996,83893,
7143,Stick,1985,1069225,
82238,Waking Up in Reno,2002,1534271,
133968,Labyrinth of Lies,2014,1198761286,
27738,American Beauty,1999,1181520,
140286,Daylight's End,2016,3912718109,
34826,The Astronaut's Wife,1999,1153185,
50157,Burn After Reading,2008,2352090,
94924,Alive Inside,2014,66135387,
96133,Vessel,2014,1129020291,
92003,The Class of 92,2013,11834712,
51508,Bridget Jones's Diary,2001,1335075,
147415,A Street Cat Named Bob,2016,3265607374,
128681,Packed in a Trunk: The Lost Art of Edith Lake Wilkinson,2015,1552104735,
134692,Jane Got a Gun,2015,840362174,
45982,Tristan & Isolde,2006,1944687,
46378,The Burbs,1989,438499,
35845,The Adventures of Priscilla Queen of the Desert,1994,1089586,
1011,Windtalkers,2002,1464859,
486,The Golden Child,1986,16881219,
80378,The Ice Storm,1997,446390,
13682,Scorpio,1973,1093757,
682,Woman on Top,2000,1278469,
5269,Thunder Soul,2010,11740831,
107964,Gina Yashere: Laughing To America,2014,4758354412,
24696,Gangs of New York,2002,1544164,
31636,Ju-on: The Grudge,2002,1695687,
52401,Kill Your Darlings,2013,1021262687,
975,Wet Hot American Summer,2001,1380794,
140323,Blood Father,2016,1912257067,
5391,Cat Run,2011,18157835,
72803,Little Odessa,1994,448818,
4259,Van Wilder: Freshman Year,2009,12029965,
73216,Jaws,1975,423388,
58493,Meet Wally Sparks,1997,427769,
32587,Jaws 2,1978,1068230,
11,The Last Temptation of Christ,1988,435053,
16,The Fox and the Hound,1981,1082454,
18,Ghost Dad,1990,1075446,
20,That's the Way I Like It,1998,1190138,
29,Joe the King,1999,1162925,
34,K-911,1999,1160476,
37,Jackson Browne: Going Home,1994,155971,
40,The Prophecy 3: The Ascent,2000,1175082,
48,Next Stop Wonderland,1998,472425,
50,Happy Texas,1999,1179908,
97,Ready to Wear,1994,425026,
30910,Up in the Air,2009,2428783,
19,Outside Providence,1999,1170121,
23,Project A,1983,1182555,
111,Goldfinger,1964,1064722,
292,The Substitute,1996,422951,
290,Species,1995,1086012,
318,The Secret of NIMH,1982,1067225,
346,Millennium,1989,1075574,
341,The Object of Beauty,1991,423776,
401,Life is Beautiful,1997,1128292,
414,Mouse Hunt,1997,450060,
420,Cop and a Half,1993,448926,
424,The Crow,1994,434236,
428,The Dentist,1996,422862,
359,The Pebble and the Penguin,1995,429723,
364,No Way Out,1987,432885,
376,The Mighty,1998,1100537,
381,Species II,1998,463705,
413,Primary Colors,1998,451191,
422,Clerks,1994,432562,
427,Conan the Destroyer,1984,453333,
531,Children of the Corn,1984,470238,
544,Billy Elliot,2000,1289101,
548,Fluke,1995,425489,
586,Bedrooms and Hallways,1998,1180521,
590,Casper's Haunted Christmas,2000,1230014,
603,Rosemary's Baby,1968,429751,
611,Slugs,1988,461061,
515,The Grifters,1990,424928,
546,Songcatcher,2001,1345837,
572,Men of War,1994,424296,
581,White Christmas,1954,437150,
585,Talk Radio,1988,424977,
629,Beowulf,1999,1242729,
632,Dillinger,1973,430330,
666,Shaft,2000,1242598,
699,Clue,1985,982878504,
729,Diamonds,1999,1217014,
770,Jackie Brown,1997,451171,
777,The Hospital,1971,453265,
848,Fatal Attraction,1987,472283,
867,Crimes of the Heart,1986,470748,
886,Witness for the Prosecution,1957,437766,
896,The Wedding Banquet,1993,1083145,
909,Everybody's Famous,2000,1345777,
928,Toys,1992,456736,
933,Topkapi,1964,1076536,
936,Cleopatra,1963,1056765,
668,Tales of Terror,1962,462678,
722,Funny Face,1957,470341,
736,Committed,2000,1252898,
740,Romeo & Juliet,1968,429955,
767,Phaedra,1962,454686,
775,She Done Him Wrong,1933,435973,
788,In Which We Serve,1942,454863,
793,Knock on Wood,1954,1060500,
797,Taras Bulba,1962,1072070,
800,The Man Who Shot Liberty Valance,1962,458452,
805,Nine to Five,1980,454755,
824,Harlem Nights,1989,427694,
849,Joe Dirt,2001,1324889,
864,Beverly Hills Cop,1984,982878477,
871,Beach Red,1967,1054792,
873,Ghost,1990,982759637,
876,Bus Stop,1956,439746,
880,A Man Called Peter,1955,436220,
908,The Nasty Girl,1990,1083922,
913,Champion,1949,462673,
932,Love Story,1970,982878510,
935,What's New Pussycat?,1965,430115,
964,Guadalcanal Diary,1943,437015,
56272,The People vs. Larry Flynt,1996,1005730653,
52902,Jaws 3,1983,1068232,
63582,Jaws: The Revenge,1987,423387,
1626,Lost in Translation,2003,990708570,
21,Heidi Fleiss: Hollywood Madam,1995,112001,
24,Music of the Heart,1999,1178258,
31,Bringing Out the Dead,1999,1178236,
39,Grey Owl,1999,1172708,
41,The Big Brass Ring,1999,1096307,
43,The Trial,1962,454740,
49,Superstar,1999,1170135,
52,Butch Cassidy and the Sundance Kid,1969,425954,
78,Cruel Intentions,1999,982759971,
