GB_id,Movie_name,GB_ReleaseYear,Rovi_id
7,Being John Malkovich,1999,60941
11,The Last Temptation of Christ,1988,60657
12,Our Town,1940,159005
13,Stigmata,1999,60366
14,My Life So Far,1999,63852
15,Blue Collar,1978,81238
132318,Frank Sinatra: All or Nothing at All,2015,12987028
25428,Unforgiven,1992,52461
54191,Minority Report,2002,62253
61153,Fast Times at Ridgemont High,1982,79292
81826,Sixteen Candles,1984,77199
30452,The Breakfast Club,1985,853991
1504,Rain Man,1988,66390
14280,The Incredible Hulk,2008,81952
141641,Kicks,2016,166395
748,The Cider House Rules,1999,81648
136413,The Boss,2016,12282964
65165,Dazed and Confused,1993,52676
32136,The Mothman Prophecies,2002,78600
129282,The Gift,2015,129632
132284,Burnt,2015,129665
134403,The Boy,2016,143868
72837,The Secret Life of Bees,2008,75417
136346,Hardcore Henry,2015,145680
147294,Kiki Love to Love,2016,1000475
138138,Bad Moms,2016,12286296
141173,Skiptrace,2016,149162
141924,Snowden,2016,151170
13956,The Best Offer,2013,808049
25278,Detention,2003,5445
34952,The Craft,1996,50085
117483,Freedom,2014,863783
931,Trading Places,1983,959986
48276,Friday,1995,50191
5158,Red Cliff,2008,86452
7334,Never Back Down 2: The Beatdown,2011,8999
136415,Demolition,2016,145500
138939,Absolutely Fabulous,2016,139657
29505,The Prince of Egypt,1998,55170
79081,Next Friday,2000,66450
1771,White Chicks,2004,71029
5274,Tiny Furniture,2010,111652
142355,The Birth Of A Nation,2016,160028
4109,The Warlords,2007,101319
49694,Mission: Impossible II,2000,21425
137762,The Last King,2016,964270
77158,Interview with the Vampire,1994,71444
11809,August Rush,2007,72476
20730,Grease,1978,55158
33219,Mean Girls,2004,76833
139811,Legend,2015,143272
34688,Tropic Thunder,2008,74070
24443,The Strangers,2008,78956
151944,Drone,2017,1015469
132355,Crimson Peak,2015,138643
18424,The Punisher,2004,70134
137289,The Nice Guys,2016,12281512
69177,Space Warriors,2013,118273
137704,Now You See Me 2,2016,145890
137210,Neighbors 2: Sorority Rising,2016,146066
137210,Neighbors 2: Sorority Rising,2016,146066
138269,The Legend of Tarzan,2016,115302
138269,The Legend of Tarzan,2016,115302
139704,War Dogs,2016,148105
65657,Hope Floats,1998,67097
139704,War Dogs,2016,148105
38246,Do the Right Thing,1989,74120
244,Mimic,1997,79784
5357,Monsters,2010,145407
25245,The Inbetweeners Movie,2011,110489
30511,Michael,1996,50459
21187,Next Day Air,2009,83720
48028,Leatherheads,2008,80418
131503,Matt Braunger: Big Dumb Animal,2015,1976505
89832,Miss You Can Do It,2013,125144
43997,Sweeney Todd,2007,73564
135719,The Confirmation,2016,158751
92372,The Face of Love,2013,121573
116293,The Harvest,2013,128579
135841,Sweet Bean,2015,128194
147832,Sky on Fire,2016,1001679
154374,Death Note,2017,1035063
29814,Frailty,2001,74325
116973,Absolution,2015,127474
116991,The D Train,2015,12282884
134375,The Land Before Time XIV: Journey of the Brave,2016,18426
140314,Hard Target 2,2016,21101
140315,Honey 3: Dare to Dance,2016,18816
