Service_name,Link_id,Rovi_id,Projectx_id,Rovi_id_form_reverse_api,Rovi_id_match,Link_expired,Prod_link_status,Projectx_link_status,Link_fetched_from,Fetched_from_sources,Comment
hbogo,urn:hbo:episode:GXHab3QOaZY2SogEAAAAJ,6781064849,[13156016],[u'6781064849'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GXHab3QOaZY2SogEAAAAJ,6781064849,[13156016],[u'6781064849'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GXHabvwGT9EDDEAEAAAAz,6802891146,[13156239],[u'6802891146'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GXHabvwGT9EDDEAEAAAAz,6802891146,[13156239],[u'6802891146'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GXHabqwQFVL3DBAEAAAAK,6825728223,[13156467],[u'6825728223'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GXHabqwQFVL3DBAEAAAAK,6825728223,[13156467],[u'6825728223'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GXHayYAlWd0DDEAEAAAA8,6848207311,[13156707],[u'6848207311'],True,True,videos_not_available,videos_not_available,None,[],Fail
hbogo,urn:hbo:episode:GXHayYAlWd0DDEAEAAAA8,6848207311,[13156707],[u'6848207311'],True,True,videos_not_available,videos_not_available,None,[],Fail
amazon,B07PNW27Z4,7144051776,[],[],False,False,link_id_not_present_in_Prod,link_id_not_present_in_Preprod,None,[],Fail
hbogo,urn:hbo:episode:GW2IJrgrM-sNOkQEAAARJ,6359809693,[5068026],[u'6359809693'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi+others,"[u'Rovi', u'gracenote']",Pass
hbogo,urn:hbo:episode:GW2IJrgrM-sNOkQEAAARJ,6359809693,[5068026],[u'6359809693'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi+others,"[u'Rovi', u'gracenote']",Pass
hbogo,urn:hbo:episode:GW2INZgOQZsPDDgEAAATM,6365023458,[5068067],[u'6365023458'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi+others,"[u'Rovi', u'gracenote']",Pass
hbogo,urn:hbo:episode:GW2INZgOQZsPDDgEAAATM,6365023458,[5068067],[u'6365023458'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi+others,"[u'Rovi', u'gracenote']",Pass
hbogo,urn:hbo:episode:GW2ImDQB58JFDwgEAAARN,6396426544,[5068103],[u'6396426544'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GW2ImDQB58JFDwgEAAARN,6396426544,[5068103],[u'6396426544'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
hbogo,urn:hbo:episode:GW2ImZgdbqpFDwgEAAARQ,6411280877,[5068153],[u'6411280877'],True,False,link_id_present_in_Prod,link_id_present_in_Preprod,Rovi,[u'Rovi'],Pass
